,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
291,1900,Coby,White,Chicago Bulls,13455,20,PG,37,7,16,43.8,4,4,100.0,2,6,33.3,0,4,4,7,4,3,2,0,+2,Coby White,31,24,27,11,13455,03/08/2024 03:00:00 AM
292,631,Alex,Caruso,Chicago Bulls,13455,5,SG,22,2,4,50.0,0,0,0,1,3,33.3,1,4,5,2,4,0,2,1,-6,Alex Caruso,12,10,7,7,13455,03/08/2024 03:00:00 AM
293,2802,Ayo,Dosunmu,Chicago Bulls,13455,14,SG,38,6,12,50.0,0,0,0,2,5,40.0,1,2,3,6,3,0,2,2,-9,Ayo Dosunmu,23,17,20,9,13455,03/08/2024 03:00:00 AM
294,3954,Julian,Phillips,Chicago Bulls,13455,3,F,4,1,2,50.0,0,0,0,1,2,50.0,0,0,0,0,0,1,0,0,+6,Julian Phillips,3,3,3,0,13455,03/08/2024 03:00:00 AM
295,765,Torrey,Craig,Chicago Bulls,13455,0,SF,14,0,1,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,-1,Torrey Craig,3,1,2,3,13455,03/08/2024 03:00:00 AM
296,3951,Onuralp,Bitim,Chicago Bulls,13455,6,SF,17,2,4,50.0,0,0,0,2,4,50.0,0,0,0,1,1,1,0,0,+11,Onuralp Bitim,7,6,7,1,13455,03/08/2024 03:00:00 AM
297,147,Andre,Drummond,Chicago Bulls,13455,1,C,13,0,1,0,1,6,16.7,0,0,0,3,4,7,0,1,0,2,0,+10,Andre Drummond,8,8,1,7,13455,03/08/2024 03:00:00 AM
298,949,Jevon,Carter,Chicago Bulls,13455,10,PG,21,4,7,57.1,0,0,0,2,3,66.7,0,1,1,2,4,1,0,0,+5,Jevon Carter,13,11,12,3,13455,03/08/2024 03:00:00 AM
299,463,Domantas,Sabonis,Sacramento Kings,13456,31,PF,38,14,19,73.7,2,3,66.7,1,1,100.0,5,12,17,9,2,1,4,1,-5,Domantas Sabonis,57,48,40,26,13456,03/08/2024 03:00:00 AM
300,36,Harrison,Barnes,Sacramento Kings,13456,17,SF,30,6,9,66.7,5,5,100.0,0,2,0,1,0,1,2,1,0,0,0,-2,Harrison Barnes,20,18,19,3,13456,03/08/2024 03:00:00 AM
301,3475,Keegan,Murray,Sacramento Kings,13456,3,SF,31,1,4,25.0,0,0,0,1,3,33.3,0,3,3,0,2,0,0,0,-10,Keegan Murray,6,6,3,3,13456,03/08/2024 03:00:00 AM
302,776,De'Aaron,Fox,Sacramento Kings,13456,33,PG,35,14,32,43.8,4,4,100.0,1,7,14.3,2,3,5,5,6,3,1,0,0,De'Aaron Fox,43,38,38,10,13456,03/08/2024 03:00:00 AM
303,980,Kevin,Huerter,Sacramento Kings,13456,0,SG,16,0,5,0,0,0,0,0,3,0,1,1,2,2,1,1,1,1,-10,Kevin Huerter,4,2,2,4,13456,03/08/2024 03:00:00 AM
304,331,Trey,Lyles,Sacramento Kings,13456,9,PF,18,3,5,60.0,2,2,100.0,1,2,50.0,2,3,5,2,1,0,0,0,+4,Trey Lyles,16,14,11,7,13456,03/08/2024 03:00:00 AM
305,313,Alex,Len,Sacramento Kings,13456,0,C,9,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,1,0,+7,Alex Len,5,3,2,5,13456,03/08/2024 03:00:00 AM
306,2834,Davion,Mitchell,Sacramento Kings,13456,9,PG,14,4,5,80.0,0,0,0,1,2,50.0,0,0,0,0,1,0,0,0,-2,Davion Mitchell,9,9,9,0,13456,03/08/2024 03:00:00 AM
307,842,Malik,Monk,Sacramento Kings,13456,18,SG,30,6,17,35.3,4,4,100.0,2,7,28.6,0,7,7,9,1,1,6,1,+13,Malik Monk,34,25,27,16,13456,03/08/2024 03:00:00 AM
308,3436,Keon,Ellis,Sacramento Kings,13456,11,G,17,4,6,66.7,0,0,0,3,5,60.0,2,1,3,0,0,2,0,0,+15,Keon Ellis,14,14,11,3,13456,03/08/2024 03:00:00 AM
309,762,Zach,Collins,San Antonio Spurs,13456,22,PF,30,8,17,47.1,4,4,100.0,2,3,66.7,4,3,7,4,4,0,1,0,+4,Zach Collins,33,29,26,11,13456,03/08/2024 03:00:00 AM
310,3425,Julian,Champagnie,San Antonio Spurs,13456,4,F,17,0,5,0,4,4,100.0,0,2,0,1,0,1,1,0,0,0,0,+2,Julian Champagnie,6,5,5,2,13456,03/08/2024 03:00:00 AM
311,3490,Jeremy,Sochan,San Antonio Spurs,13456,9,F,36,3,10,30.0,3,3,100.0,0,3,0,2,6,8,2,5,1,2,2,+10,Jeremy Sochan,19,17,11,10,13456,03/08/2024 03:00:00 AM
312,2606,Tre,Jones,San Antonio Spurs,13456,2,PG,24,1,1,100.0,0,0,0,0,0,0,0,5,5,12,0,0,2,0,+9,Tre Jones,19,7,14,17,13456,03/08/2024 03:00:00 AM
313,2661,Devin,Vassell,San Antonio Spurs,13456,30,SG,39,11,18,61.1,4,4,100.0,4,7,57.1,0,5,5,9,0,2,2,1,+8,Devin Vassell,44,35,39,14,13456,03/08/2024 03:00:00 AM
314,2830,Sandro,Mamukelashvili,San Antonio Spurs,13456,0,PF,4,0,1,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,-10,Sandro Mamukelashvili,3,3,0,3,13456,03/08/2024 03:00:00 AM
315,3415,Dominick,Barlow,San Antonio Spurs,13456,4,F,13,2,3,66.7,0,0,0,0,0,0,0,1,1,0,3,1,0,0,+3,Dominick Barlow,5,5,4,1,13456,03/08/2024 03:00:00 AM
316,854,Cedi,Osman,San Antonio Spurs,13456,2,SF,6,1,2,50.0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,-7,Cedi Osman,4,4,2,2,13456,03/08/2024 03:00:00 AM
317,1872,Keldon,Johnson,San Antonio Spurs,13456,22,SF,28,9,17,52.9,0,0,0,4,11,36.4,1,2,3,4,0,1,1,0,-14,Keldon Johnson,29,25,26,7,13456,03/08/2024 03:00:00 AM
318,3419,Malaki,Branham,San Antonio Spurs,13456,23,G,26,6,11,54.5,6,6,100.0,5,5,100.0,0,1,1,4,3,2,3,0,-16,Malaki Branham,28,24,27,5,13456,03/08/2024 03:00:00 AM
319,3499,Blake,Wesley,San Antonio Spurs,13456,11,G,17,5,6,83.3,0,0,0,1,1,100.0,0,1,1,3,3,1,1,1,+1,Blake Wesley,15,12,14,4,13456,03/08/2024 03:00:00 AM
