,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
289,189,Paul,George,LA Clippers,13465,22,F,40,8,16,50.0,4,5,80.0,2,6,33.3,0,5,5,9,5,2,3,3,+13,Paul George,36,27,31,14,13465,03/09/2024 09:00:00 PM
290,314,Kawhi,Leonard,LA Clippers,13465,19,SF,38,8,15,53.3,3,3,100.0,0,1,0,2,7,9,4,1,0,2,1,+4,Kawhi Leonard,32,28,23,13,13465,03/09/2024 09:00:00 PM
291,575,Ivica,Zubac,LA Clippers,13465,16,C,25,7,9,77.8,2,2,100.0,0,0,0,2,7,9,2,3,0,1,1,+18,Ivica Zubac,27,25,18,11,13465,03/09/2024 09:00:00 PM
292,216,James,Harden,LA Clippers,13465,14,SG,34,4,10,40.0,2,2,100.0,4,10,40.0,0,11,11,10,2,1,1,0,+4,James Harden,35,25,24,21,13465,03/09/2024 09:00:00 PM
293,1877,Terance,Mann,LA Clippers,13465,7,SG,25,3,7,42.9,0,0,0,1,3,33.3,0,1,1,1,2,0,1,0,0,Terance Mann,9,8,8,2,13465,03/09/2024 09:00:00 PM
294,886,Daniel,Theis,LA Clippers,13465,6,C,21,3,8,37.5,0,0,0,0,1,0,3,0,3,2,4,0,2,1,-7,Daniel Theis,11,9,8,5,13465,03/09/2024 09:00:00 PM
295,2816,Bones,Hyland,LA Clippers,13465,10,PG,13,3,3,100.0,1,2,50.0,3,3,100.0,0,2,2,1,1,3,1,0,+6,Bones Hyland,13,12,11,3,13465,03/09/2024 09:00:00 PM
296,2115,Amir,Coffey,LA Clippers,13465,0,SG,15,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,+7,Amir Coffey,1,1,0,1,13465,03/09/2024 09:00:00 PM
297,434,Norman,Powell,LA Clippers,13465,18,G,27,6,14,42.9,4,4,100.0,2,9,22.2,2,2,4,0,2,1,2,0,+5,Norman Powell,22,22,18,4,13465,03/09/2024 09:00:00 PM
298,3984,Jordan,Miller,LA Clippers,13465,0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Miller,0,0,0,0,13465,03/09/2024 09:00:00 PM
299,3983,Kobe,Brown,LA Clippers,13465,0,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobe Brown,0,0,0,0,13465,03/09/2024 09:00:00 PM
300,136,DeMar,DeRozan,Chicago Bulls,13465,24,SF,42,8,19,42.1,8,9,88.9,0,3,0,1,7,8,10,2,0,2,0,-10,DeMar DeRozan,42,32,34,18,13465,03/09/2024 09:00:00 PM
301,534,Nikola,Vucevic,Chicago Bulls,13465,22,C,35,9,22,40.9,2,2,100.0,2,4,50.0,4,7,11,2,1,0,1,0,-11,Nikola Vucevic,35,33,24,13,13465,03/09/2024 09:00:00 PM
302,1900,Coby,White,Chicago Bulls,13465,19,PG,41,7,16,43.8,2,2,100.0,3,9,33.3,1,4,5,4,4,0,5,0,-2,Coby White,28,24,23,9,13465,03/09/2024 09:00:00 PM
303,631,Alex,Caruso,Chicago Bulls,13465,9,SG,36,4,7,57.1,0,0,0,1,3,33.3,0,1,1,6,3,4,0,2,-11,Alex Caruso,16,10,15,7,13465,03/09/2024 09:00:00 PM
304,2802,Ayo,Dosunmu,Chicago Bulls,13465,13,SG,36,5,11,45.5,0,0,0,3,7,42.9,0,2,2,4,4,2,1,1,-7,Ayo Dosunmu,19,15,17,6,13465,03/09/2024 09:00:00 PM
305,2853,Terry,Taylor,Chicago Bulls,13465,0,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terry Taylor,0,0,0,0,13465,03/09/2024 09:00:00 PM
306,3494,Dalen,Terry,Chicago Bulls,13465,0,F,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Dalen Terry,0,0,0,0,13465,03/09/2024 09:00:00 PM
307,3954,Julian,Phillips,Chicago Bulls,13465,0,F,5,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,-2,Julian Phillips,0,0,0,0,13465,03/09/2024 09:00:00 PM
308,765,Torrey,Craig,Chicago Bulls,13465,6,SF,13,2,6,33.3,0,0,0,2,5,40.0,2,1,3,0,2,1,2,0,-6,Torrey Craig,9,9,6,3,13465,03/09/2024 09:00:00 PM
309,3951,Onuralp,Bitim,Chicago Bulls,13465,6,SF,10,2,3,66.7,0,0,0,2,3,66.7,1,0,1,0,0,0,0,0,-5,Onuralp Bitim,7,7,6,1,13465,03/09/2024 09:00:00 PM
310,147,Andre,Drummond,Chicago Bulls,13465,3,C,12,0,1,0,3,4,75.0,0,0,0,3,4,7,0,1,0,1,0,+1,Andre Drummond,10,10,3,7,13465,03/09/2024 09:00:00 PM
311,949,Jevon,Carter,Chicago Bulls,13465,0,PG,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+3,Jevon Carter,1,0,1,1,13465,03/09/2024 09:00:00 PM
