,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date,home_team,away_team
0,126,Anthony,Davis,Los Angeles Lakers,13580,36,PF,40,15,21,71.4,5,5,100.0,1,2,50.0,3,13,16,3,4,2,2,1,+11,Anthony Davis,55,52,39,19,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
1,1862,Rui,Hachimura,Los Angeles Lakers,13580,9,PF,30,4,8,50.0,0,0,0,1,4,25.0,0,5,5,1,1,0,0,1,+6,Rui Hachimura,15,14,10,6,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
2,265,LeBron,James,Los Angeles Lakers,13580,26,SF,38,8,19,42.1,8,8,100.0,2,4,50.0,1,4,5,10,1,1,3,1,+12,LeBron James,41,31,36,15,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
3,142,Spencer,Dinwiddie,Los Angeles Lakers,13580,26,PG,35,8,11,72.7,8,9,88.9,2,3,66.7,0,2,2,5,4,1,3,2,0,Spencer Dinwiddie,33,28,31,7,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
4,2845,Austin,Reaves,Los Angeles Lakers,13580,25,SG,37,6,13,46.2,11,12,91.7,2,5,40.0,1,4,5,8,1,0,2,1,+4,Austin Reaves,38,30,33,13,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
5,437,Taurean,Prince,Los Angeles Lakers,13580,14,PF,19,6,8,75.0,0,1,0,2,3,66.7,0,2,2,0,3,0,0,1,-3,Taurean Prince,16,16,14,2,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
6,1889,Cam,Reddish,Los Angeles Lakers,13580,7,SF,23,1,5,20.0,4,6,66.7,1,3,33.3,0,0,0,0,0,2,0,0,+1,Cam Reddish,7,7,7,0,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
7,1864,Jaxson,Hayes,Los Angeles Lakers,13580,4,C,8,1,3,33.3,2,2,100.0,0,0,0,3,1,4,0,0,0,0,0,-6,Jaxson Hayes,8,8,4,4,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
8,3427,Max,Christie,Los Angeles Lakers,13580,3,G,9,1,1,100.0,0,0,0,1,1,100.0,0,2,2,1,0,0,0,0,0,Max Christie,6,5,4,3,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
9,479,Pascal,Siakam,Indiana Pacers,13580,36,PF,33,16,29,55.2,4,8,50.0,0,2,0,4,8,12,2,3,0,1,0,-11,Pascal Siakam,50,48,38,14,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
10,2626,Aaron,Nesmith,Indiana Pacers,13580,13,SF,27,4,8,50.0,2,2,100.0,3,5,60.0,1,2,3,4,5,0,1,2,-5,Aaron Nesmith,20,16,17,7,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
11,522,Myles,Turner,Indiana Pacers,13580,20,C,28,7,12,58.3,2,4,50.0,4,6,66.7,0,5,5,3,3,0,1,2,-9,Myles Turner,28,25,23,8,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
12,3476,Andrew,Nembhard,Indiana Pacers,13580,15,PG,26,7,9,77.8,0,0,0,1,2,50.0,0,3,3,5,4,1,0,0,-12,Andrew Nembhard,23,18,20,8,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
13,2595,Tyrese,Haliburton,Indiana Pacers,13580,12,PG,33,5,13,38.5,0,0,0,2,6,33.3,1,5,6,10,1,2,1,0,-12,Tyrese Haliburton,28,18,22,16,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
14,2658,Obi,Toppin,Indiana Pacers,13580,11,PF,19,4,6,66.7,0,0,0,3,5,60.0,1,2,3,1,4,0,1,0,+4,Obi Toppin,15,14,12,4,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
15,2644,Jalen,Smith,Indiana Pacers,13580,0,PF,5,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-4,Jalen Smith,1,1,0,1,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
16,351,Doug,McDermott,Indiana Pacers,13580,14,SF,22,5,8,62.5,0,0,0,4,7,57.1,0,0,0,3,4,1,2,0,+9,Doug McDermott,17,14,17,3,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
17,2817,Isaiah,Jackson,Indiana Pacers,13580,5,SF,13,2,4,50.0,1,1,100.0,0,0,0,2,2,4,1,3,1,1,0,+7,Isaiah Jackson,10,9,6,5,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
18,348,T.J.,McConnell,Indiana Pacers,13580,17,PG,18,8,15,53.3,0,1,0,1,1,100.0,1,2,3,7,0,1,2,0,+7,T.J. McConnell,27,20,24,10,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
19,3979,Ben,Sheppard,Indiana Pacers,13580,2,G,16,1,2,50.0,0,0,0,0,1,0,0,0,0,3,4,0,1,0,+1,Ben Sheppard,5,2,5,3,13580,2024-03-25 02:00:00,Los Angeles Lakers,Indiana Pacers
20,246,Richaun,Holmes,Washington Wizards,13570,15,F,28,6,9,66.7,3,4,75.0,0,0,0,7,7,14,0,3,0,2,2,+7,Richaun Holmes,29,29,15,14,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
21,820,Kyle,Kuzma,Washington Wizards,13570,16,SF,34,7,18,38.9,2,4,50.0,0,3,0,0,9,9,5,4,0,4,0,-4,Kyle Kuzma,30,25,21,14,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
22,2825,Corey,Kispert,Washington Wizards,13570,18,SF,33,7,12,58.3,0,0,0,4,6,66.7,0,1,1,2,2,1,2,0,-1,Corey Kispert,21,19,20,3,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
23,2564,Deni,Avdija,Washington Wizards,13570,22,SF,36,8,19,42.1,3,6,50.0,3,8,37.5,3,10,13,5,2,1,1,0,0,Deni Avdija,40,35,27,18,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
24,1887,Jordan,Poole,Washington Wizards,13570,18,SG,38,6,14,42.9,4,4,100.0,2,8,25.0,1,3,4,12,3,3,3,0,+7,Jordan Poole,34,22,30,16,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
25,931,Marvin,Bagley III,Washington Wizards,13570,10,PF,16,4,7,57.1,1,1,100.0,1,2,50.0,3,5,8,0,0,0,1,2,+1,Marvin Bagley III,18,18,10,8,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
26,4088,T.,Vukcevic,Washington Wizards,13570,0,PF,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,T. Vukcevic,1,1,0,1,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
27,3413,Patrick,Baldwin Jr.,Washington Wizards,13570,2,F,11,1,3,33.3,0,0,0,0,2,0,1,0,1,0,1,0,1,3,-1,Patrick Baldwin Jr.,3,3,2,1,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
28,2798,Justin,Champagnie,Washington Wizards,13570,0,SF,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,-3,Justin Champagnie,2,1,1,2,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
29,2796,Jared,Butler,Washington Wizards,13570,7,SG,20,3,7,42.9,0,0,0,1,5,20.0,1,1,2,2,3,1,2,0,+5,Jared Butler,11,9,9,4,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
30,3428,Johnny,Davis,Washington Wizards,13570,4,G,17,2,3,66.7,0,0,0,0,1,0,0,1,1,1,0,1,0,1,+6,Johnny Davis,6,5,5,2,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
31,404,Kelly,Olynyk,Toronto Raptors,13570,14,PF,32,4,11,36.4,6,6,100.0,0,1,0,1,5,6,10,5,2,3,1,+3,Kelly Olynyk,30,20,24,16,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
32,1058,Gary,Trent Jr.,Toronto Raptors,13570,31,SG,34,10,26,38.5,10,10,100.0,1,7,14.3,1,3,4,2,2,3,0,0,+5,Gary Trent Jr.,37,35,33,6,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
33,2637,Jahmi'us,Ramsey,Toronto Raptors,13570,8,SG,18,3,5,60.0,0,0,0,2,4,50.0,0,4,4,1,2,0,0,0,+9,Jahmi'us Ramsey,13,12,9,5,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
34,3411,Ochai,Agbaji,Toronto Raptors,13570,12,G,32,6,12,50.0,0,3,0,0,5,0,5,4,9,2,0,1,1,2,-2,Ochai Agbaji,23,21,14,11,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
35,4027,Gradey,Dick,Toronto Raptors,13570,17,G,34,6,13,46.2,2,2,100.0,3,8,37.5,0,2,2,2,3,0,0,1,-7,Gradey Dick,21,19,19,4,13570,2024-03-24 00:00:00,Washington Wizards,Toronto Raptors
