,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date,home_team,away_team
0,2621,Jaden,McDaniels,Minnesota Timberwolves,14025,24,PF,39,9,15,60.0,0,0,0,6,9,66.7,2,2,4,3,4,1,3,0,-4,Jaden McDaniels,31,28,27,7,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
1,192,Rudy,Gobert,Minnesota Timberwolves,14025,12,C,38,4,8,50.0,4,6,66.7,0,0,0,1,6,7,1,3,1,0,2,+10,Rudy Gobert,20,19,13,8,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
2,519,Karl-Anthony,Towns,Minnesota Timberwolves,14025,16,C,34,6,20,30.0,2,2,100.0,2,9,22.2,3,4,7,2,2,1,1,0,-5,Karl-Anthony Towns,25,23,18,9,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
3,114,Mike,Conley,Minnesota Timberwolves,14025,6,PG,31,2,7,28.6,1,4,25.0,1,6,16.7,0,3,3,3,2,2,1,0,+1,Mike Conley,12,9,9,6,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
4,2584,Anthony,Edwards,Minnesota Timberwolves,14025,19,SG,41,6,16,37.5,2,2,100.0,5,12,41.7,2,9,11,8,1,2,3,0,-1,Anthony Edwards,38,30,27,19,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
5,18,Kyle,Anderson,Minnesota Timberwolves,14025,11,SF,17,5,8,62.5,0,0,0,1,3,33.3,1,1,2,2,2,0,0,0,0,Kyle Anderson,15,13,13,4,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
6,2146,Naz,Reid,Minnesota Timberwolves,14025,15,C,24,5,9,55.6,2,4,50.0,3,6,50.0,1,4,5,2,2,1,2,1,-11,Naz Reid,22,20,17,7,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
7,1845,Nickeil,Alexander-Walker,Minnesota Timberwolves,14025,2,SG,16,1,6,16.7,0,0,0,0,4,0,0,1,1,2,1,0,0,0,-5,Nickeil Alexander-Walker,5,3,4,3,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
8,1897,P.J.,Washington,Dallas Mavericks,14025,13,PF,41,4,10,40.0,3,3,100.0,2,8,25.0,0,7,7,0,4,0,3,2,+12,P.J. Washington,20,20,13,7,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
9,283,Derrick,Jones Jr.,Dallas Mavericks,14025,8,SF,35,4,9,44.4,0,0,0,0,2,0,2,2,4,2,1,0,0,0,-8,Derrick Jones Jr.,14,12,10,6,14025,2024-05-23 00:30:00,Minnesota Timberwolves,Dallas Mavericks
