,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date,home_team,away_team
0,136,DeMar,DeRozan,Chicago Bulls,13504,21,SF,36,6,16,37.5,7,8,87.5,2,5,40.0,1,4,5,4,2,0,5,0,-13,DeMar DeRozan,30,26,25,9,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
1,765,Torrey,Craig,Chicago Bulls,13504,12,SF,27,4,8,50.0,0,2,0,4,7,57.1,0,6,6,1,1,0,0,0,-8,Torrey Craig,19,18,13,7,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
2,534,Nikola,Vucevic,Chicago Bulls,13504,19,C,35,8,14,57.1,1,1,100.0,2,4,50.0,3,3,6,5,2,0,1,0,-22,Nikola Vucevic,30,25,24,11,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
3,631,Alex,Caruso,Chicago Bulls,13504,17,SG,36,5,13,38.5,2,2,100.0,5,8,62.5,0,3,3,6,2,3,3,0,-25,Alex Caruso,26,20,23,9,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
4,2802,Ayo,Dosunmu,Chicago Bulls,13504,7,SG,35,2,11,18.2,2,2,100.0,1,5,20.0,2,2,4,4,2,0,3,0,-24,Ayo Dosunmu,15,11,11,8,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
5,2853,Terry,Taylor,Chicago Bulls,13504,0,F,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+3,Terry Taylor,1,0,1,1,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
6,3952,Henri,Drell,Chicago Bulls,13504,2,F,3,1,2,50.0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,+3,Henri Drell,5,3,4,3,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
7,3494,Dalen,Terry,Chicago Bulls,13504,4,F,13,2,4,50.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-4,Dalen Terry,5,5,4,1,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
8,3951,Onuralp,Bitim,Chicago Bulls,13504,2,SF,17,1,2,50.0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,-2,Onuralp Bitim,4,2,4,2,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
9,147,Andre,Drummond,Chicago Bulls,13504,15,C,16,7,8,87.5,1,1,100.0,0,0,0,3,4,7,1,2,0,0,1,+2,Andre Drummond,23,22,16,8,13504,2024-03-15 00:00:00,Chicago Bulls,LA Clippers
