,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Anthony Davis,Over,-105,24.5,0.09130385067402268,DraftKings,player_points,Los Angeles Lakers,26.6,22.864501013840822,0.479695431472079,0.5278942051508545,New Orleans Pelicans,0.9929209401924216,9.982561262902982,25.0,2024-04-15
1,Anthony Davis,Under,-115,24.5,-0.10162436447313276,DraftKings,player_points,Los Angeles Lakers,26.6,22.864501013840822,0.5009443985361799,0.45473249747500233,New Orleans Pelicans,0.9929209401924216,9.982561262902982,24.0,2024-04-15
2,Austin Reaves,Over,-108,14.5,-0.022472328445106816,DraftKings,player_points,Los Angeles Lakers,14.0,16.337804498997276,0.48628465443186036,0.47559688502412845,New Orleans Pelicans,0.9929209401924216,5.151106699220797,15.0,2024-04-15
3,Austin Reaves,Under,-112,14.5,0.010439613063887299,DraftKings,player_points,Los Angeles Lakers,14.0,16.337804498997276,0.49478019346805635,0.5,New Orleans Pelicans,0.9929209401924216,5.151106699220797,14.0,2024-04-15
4,Brandon Ingram,Over,-118,18.5,-0.13207449576366476,DraftKings,player_points,New Orleans Pelicans,16.3,20.574473848125173,0.50693894658408,0.4477964555169257,Los Angeles Lakers,1.0978242594483645,7.492959658535766,19.0,2024-04-15
5,Brandon Ingram,Under,-102,18.5,0.11261475628230425,DraftKings,player_points,New Orleans Pelicans,16.3,20.574473848125173,0.4729104890184428,0.532925797861126,Los Angeles Lakers,1.0978242594483645,7.492959658535766,18.0,2024-04-15
6,C.J. McCollum,Over,-105,23.5,,DraftKings,player_points,,,,0.479695431472079,,New Orleans Pelicans,0.9929209401924216,,24.0,2024-04-15
7,C.J. McCollum,Under,-115,23.5,,DraftKings,player_points,,,,0.5009443985361799,,New Orleans Pelicans,0.9929209401924216,,23.0,2024-04-15
8,D'Angelo Russell,Over,-122,16.5,-0.0293593085471211,DraftKings,player_points,Los Angeles Lakers,17.0,19.47734906037857,0.5146796542735605,0.5,New Orleans Pelicans,0.9929209401924216,7.648819377513271,17.0,2024-04-15
9,D'Angelo Russell,Under,102,16.5,0.03313453154677203,DraftKings,player_points,Los Angeles Lakers,17.0,19.47734906037857,0.46363773433180666,0.47952662439535154,New Orleans Pelicans,0.9929209401924216,7.648819377513271,16.0,2024-04-15
