,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Caris LeVert,Over,102,7.5,0.31947681571006914,DraftKings,player_points,Cleveland Cavaliers,12.0,8.486695396016259,0.46363773433180666,0.6812960161167381,Orlando Magic,0.8921825924109285,6.129055245165051,8.0,2024-05-03
1,Caris LeVert,Under,-122,7.5,-0.8521796782495537,DraftKings,player_points,Cleveland Cavaliers,12.0,8.486695396016259,0.5146796542735605,0.2778778216376776,Orlando Magic,0.8921825924109285,6.129055245165051,7.0,2024-05-03
2,Darius Garland,Over,-118,16.5,-0.0039062306207663495,DraftKings,player_points,Cleveland Cavaliers,17.2,16.065136339671714,0.50693894658408,0.5049664312478804,Orlando Magic,0.8921825924109285,6.505722313145077,17.0,2024-05-03
3,Darius Garland,Under,-102,16.5,-0.005703949379612033,DraftKings,player_points,Cleveland Cavaliers,17.2,16.065136339671714,0.4729104890184428,0.47022833042484,Orlando Magic,0.8921825924109285,6.505722313145077,16.0,2024-05-03
4,Donovan Mitchell,Over,-120,24.5,-0.14767772022987058,DraftKings,player_points,Cleveland Cavaliers,22.1,21.01111509413063,0.5108444854637724,0.4451114424016651,Orlando Magic,0.8921825924109285,7.725935713208342,25.0,2024-05-03
5,Donovan Mitchell,Under,100,24.5,0.12639758535909776,DraftKings,player_points,Cleveland Cavaliers,22.1,21.01111509413063,0.4682741116751247,0.5360265766522757,Orlando Magic,0.8921825924109285,7.725935713208342,24.0,2024-05-03
6,Evan Mobley,Over,-120,14.5,-0.10072121855565792,DraftKings,player_points,Cleveland Cavaliers,13.7,14.426766470939238,0.5108444854637724,0.4640997891674072,Orlando Magic,0.8921825924109285,3.959016671118143,15.0,2024-05-03
7,Evan Mobley,Under,100,14.5,0.07873606027076899,DraftKings,player_points,Cleveland Cavaliers,13.7,14.426766470939238,0.4682741116751247,0.5082952794318155,Orlando Magic,0.8921825924109285,3.959016671118143,14.0,2024-05-03
8,Franz Wagner,Over,-108,19.5,0.05480197187116918,DraftKings,player_points,Orlando Magic,20.7,19.28281394898359,0.48628465443186036,0.5144791249665828,Cleveland Cavaliers,0.9570103633363252,5.926583244580964,20.0,2024-05-03
9,Franz Wagner,Under,-112,19.5,-0.06433137886708518,DraftKings,player_points,Orlando Magic,20.7,19.28281394898359,0.49478019346805635,0.46487419547351805,Cleveland Cavaliers,0.9570103633363252,5.926583244580964,19.0,2024-05-03
10,Jalen Suggs,Over,-110,13.5,0.09062441972990475,DraftKings,player_points,Orlando Magic,15.3,13.12117201090463,0.49057287889774975,0.5394612408132224,Cleveland Cavaliers,0.9570103633363252,6.3221805509424165,14.0,2024-05-03
11,Jalen Suggs,Under,-110,13.5,-0.13973751831577505,DraftKings,player_points,Orlando Magic,15.3,13.12117201090463,0.49057287889774975,0.4304261911309933,Cleveland Cavaliers,0.9570103633363252,6.3221805509424165,13.0,2024-05-03
12,Jarrett Allen,Over,-105,14.5,0.15084484802943468,DraftKings,player_points,Cleveland Cavaliers,17.6,15.909200764418332,0.479695431472079,0.5649090514953466,Orlando Magic,0.8921825924109285,4.543134010669337,15.0,2024-05-03
