outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Ausar Thompson,Over,-110,11.5,-0.02552301259568214,DraftKings,player_points,Detroit Pistons,11.4,11.057659648998259,0.49057287889774975,0.4783635987417483,Brooklyn Nets,0.96997014464897,3.7712937103863973,12.0,2024-03-07
Ausar Thompson,Under,-120,11.5,-0.05204726601625919,DraftKings,player_points,Detroit Pistons,11.4,11.057659648998259,0.5108444854637724,0.48557180077865186,Brooklyn Nets,0.96997014464897,3.7712937103863973,11.0,2024-03-07
Cade Cunningham,Over,-110,21.5,-0.0043049987919127446,DraftKings,player_points,Detroit Pistons,21.4,20.75736109548796,0.49057287889774975,0.48847001606868845,Brooklyn Nets,0.96997014464897,7.410141974458563,22.0,2024-03-07
Cade Cunningham,Under,-120,21.5,-0.03764220219736342,DraftKings,player_points,Detroit Pistons,21.4,20.75736109548796,0.5108444854637724,0.4923127494062812,Brooklyn Nets,0.96997014464897,7.410141974458563,21.0,2024-03-07
Dennis Schroder,Over,-125,15.5,-0.2787117830359605,DraftKings,player_points,Brooklyn Nets,12.9,13.16162602004099,0.5203045685279164,0.4068974536956184,Detroit Pistons,1.0202810868248828,6.108052430871062,16.0,2024-03-07
Dennis Schroder,Under,-105,15.5,0.14854636215448455,DraftKings,player_points,Brooklyn Nets,12.9,13.16162602004099,0.479695431472079,0.563384088282107,Detroit Pistons,1.0202810868248828,6.108052430871062,15.0,2024-03-07
Dorian Finney-Smith,Over,100,10.5,-0.2297000332947314,DraftKings,player_points,Brooklyn Nets,8.4,8.570361129329017,0.4682741116751247,0.3808035284999378,Detroit Pistons,1.0202810868248828,5.299150095584875,11.0,2024-03-07
Dorian Finney-Smith,Under,-130,10.5,0.07785893459521588,DraftKings,player_points,Brooklyn Nets,8.4,8.570361129329017,0.5293533436327497,0.5740481185493936,Detroit Pistons,1.0202810868248828,5.299150095584875,10.0,2024-03-07
Isaiah Stewart II,Over,-115,10.5,,DraftKings,player_points,,,,0.5009443985361799,,Detroit Pistons,1.0202810868248828,,11.0,2024-03-07
Isaiah Stewart II,Under,-115,10.5,,DraftKings,player_points,,,,0.5009443985361799,,Detroit Pistons,1.0202810868248828,,10.0,2024-03-07
Jaden Ivey,Over,-105,16.5,-0.21557421148083938,DraftKings,player_points,Detroit Pistons,13.5,13.094596952761096,0.479695431472079,0.3946245543393878,Brooklyn Nets,0.96997014464897,6.647191606234922,17.0,2024-03-07
Jaden Ivey,Under,-125,16.5,0.09623098639676078,DraftKings,player_points,Detroit Pistons,13.5,13.094596952761096,0.5203045685279164,0.5757052528870321,Brooklyn Nets,0.96997014464897,6.647191606234922,16.0,2024-03-07
Jalen Duren,Over,-120,12.5,-0.09677961320805084,DraftKings,player_points,Detroit Pistons,12.0,11.63964173578764,0.5108444854637724,0.46576767047079404,Brooklyn Nets,0.96997014464897,3.5572329485148986,13.0,2024-03-07
Jalen Duren,Under,-110,12.5,0.018854242204500493,DraftKings,player_points,Detroit Pistons,12.0,11.63964173578764,0.49057287889774975,0.5,Brooklyn Nets,0.96997014464897,3.5572329485148986,12.0,2024-03-07
Mikal Bridges,Over,-115,22.5,-0.3735817213949447,DraftKings,player_points,Brooklyn Nets,17.0,17.34477847602301,0.5009443985361799,0.36469937735298663,Detroit Pistons,1.0202810868248828,9.405475840091595,23.0,2024-03-07
Mikal Bridges,Under,-115,22.5,0.1833720983057094,DraftKings,player_points,Brooklyn Nets,17.0,17.34477847602301,0.5009443985361799,0.6134304222239413,Detroit Pistons,1.0202810868248828,9.405475840091595,22.0,2024-03-07
Nic Claxton,Over,-125,12.5,-0.22392150613370537,DraftKings,player_points,Brooklyn Nets,10.9,11.121063846391223,0.5203045685279164,0.4251126938454798,Detroit Pistons,1.0202810868248828,4.790814452072513,13.0,2024-03-07
Nic Claxton,Under,-105,12.5,0.11067989782352505,DraftKings,player_points,Brooklyn Nets,10.9,11.121063846391223,0.479695431472079,0.5393956914929706,Detroit Pistons,1.0202810868248828,4.790814452072513,12.0,2024-03-07
