,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Ausar Thompson,Over,-125,10.5,-0.09937564056429068,DraftKings,player_points,Detroit Pistons,10.3,10.440687375753528,0.5203045685279164,0.4732727825958132,Charlotte Hornets,1.01365896851976,3.5070709267508082,11.0,2024-03-11
1,Ausar Thompson,Under,-105,10.5,0.01810101414259533,DraftKings,player_points,Detroit Pistons,10.3,10.440687375753528,0.479695431472079,0.48853847328623506,Charlotte Hornets,1.01365896851976,3.5070709267508082,10.0,2024-03-11
2,Brandon Miller,Over,-125,20.5,-0.11822061053967767,DraftKings,player_points,Charlotte Hornets,19.3,19.518288341772564,0.5203045685279164,0.4652968865211723,Detroit Pistons,1.0113102767757804,5.044771198590157,21.0,2024-03-11
3,Brandon Miller,Under,-105,20.5,0.06729298899000909,DraftKings,player_points,Charlotte Hornets,19.3,19.518288341772564,0.479695431472079,0.5143045198648567,Detroit Pistons,1.0113102767757804,5.044771198590157,20.0,2024-03-11
4,Cade Cunningham,Over,-125,23.5,-0.02415823052905706,DraftKings,player_points,Detroit Pistons,24.5,24.83464472873412,0.5203045685279164,0.5080314281701752,Charlotte Hornets,1.01365896851976,7.815550235572959,24.0,2024-03-11
5,Cade Cunningham,Under,-105,23.5,-0.007935600766365817,DraftKings,player_points,Detroit Pistons,24.5,24.83464472873412,0.479695431472079,0.47591873043014965,Charlotte Hornets,1.01365896851976,7.815550235572959,23.0,2024-03-11
6,Davis Bertans,Over,-115,11.5,-0.20150192696338393,DraftKings,player_points,Charlotte Hornets,9.9,10.011971740080227,0.5009443985361799,0.41693183114757193,Detroit Pistons,1.0113102767757804,3.992492955535426,12.0,2024-03-11
7,Davis Bertans,Under,-115,11.5,0.0787113477859687,DraftKings,player_points,Charlotte Hornets,9.9,10.011971740080227,0.5009443985361799,0.5437431551255033,Detroit Pistons,1.0113102767757804,3.992492955535426,11.0,2024-03-11
8,Grant Williams,Over,100,13.5,-0.1399422245226534,DraftKings,player_points,Charlotte Hornets,11.4,11.528937155243897,0.4682741116751247,0.4107875834419703,Detroit Pistons,1.0113102767757804,6.232048599944172,14.0,2024-03-11
9,Grant Williams,Under,-130,13.5,0.04653399889160841,DraftKings,player_points,Charlotte Hornets,11.4,11.528937155243897,0.5293533436327497,0.5551884839285128,Detroit Pistons,1.0113102767757804,6.232048599944172,13.0,2024-03-11
10,Isaiah Stewart,Over,100,11.5,-0.04765766451353038,DraftKings,player_points,Detroit Pistons,10.571428571428571,10.715823381494605,0.4682741116751247,0.44697244866963604,Charlotte Hornets,1.01365896851976,3.5229857466967665,12.0,2024-03-11
11,Isaiah Stewart,Under,-130,11.5,-0.025975704925563604,DraftKings,player_points,Detroit Pistons,10.571428571428571,10.715823381494605,0.5293533436327497,0.5159511488346161,Charlotte Hornets,1.01365896851976,3.5229857466967665,11.0,2024-03-11
12,Jaden Ivey,Over,-125,17.5,-0.25210033949942434,DraftKings,player_points,Detroit Pistons,14.8,15.002152734092448,0.5203045685279164,0.4155454256453028,Charlotte Hornets,1.01365896851976,8.855529807033868,18.0,2024-03-11
13,Jaden Ivey,Under,-105,17.5,0.14078367138473483,DraftKings,player_points,Detroit Pistons,14.8,15.002152734092448,0.479695431472079,0.5582941286103912,Charlotte Hornets,1.01365896851976,8.855529807033868,17.0,2024-03-11
14,Jalen Duren,Over,-120,13.5,-0.17516579674768581,DraftKings,player_points,Detroit Pistons,12.0,12.163907622237119,0.5108444854637724,0.43469992649339617,Charlotte Hornets,1.01365896851976,3.2419444908314907,14.0,2024-03-11
15,Jalen Duren,Under,-110,13.5,0.0791865088524561,DraftKings,player_points,Detroit Pistons,12.0,12.163907622237119,0.49057287889774975,0.5327603077213648,Charlotte Hornets,1.01365896851976,3.2419444908314907,13.0,2024-03-11
16,Miles Bridges,Over,-110,23.5,-0.13304593846250315,DraftKings,player_points,Charlotte Hornets,20.5,20.731860673903498,0.49057287889774975,0.43296821624323284,Detroit Pistons,1.0113102767757804,7.052974155946161,24.0,2024-03-11
17,Miles Bridges,Under,-120,23.5,0.06778681367839622,DraftKings,player_points,Charlotte Hornets,20.5,20.731860673903498,0.5108444854637724,0.5479910528615247,Detroit Pistons,1.0113102767757804,7.052974155946161,23.0,2024-03-11
18,Nick Richards,Over,130,12.5,0.07638652329444993,DraftKings,player_points,Charlotte Hornets,11.3,11.42780612756632,0.4071948797174998,0.44087152254418044,Detroit Pistons,1.0113102767757804,5.482624211266533,13.0,2024-03-11
19,Nick Richards,Under,-166,12.5,-0.11448965751618452,DraftKings,player_points,Charlotte Hornets,11.3,11.42780612756632,0.5844624250982761,0.5244215782144112,Detroit Pistons,1.0113102767757804,5.482624211266533,12.0,2024-03-11
20,Vasilije Micic,Over,-110,13.5,-0.39646033403914943,DraftKings,player_points,Charlotte Hornets,10.1,10.214233795435382,0.49057287889774975,0.3512973959516681,Detroit Pistons,1.0113102767757804,5.75325994545701,14.0,2024-03-11
21,Vasilije Micic,Under,-120,13.5,0.16496370013685965,DraftKings,player_points,Charlotte Hornets,10.1,10.214233795435382,0.5108444854637724,0.6117632078359924,Detroit Pistons,1.0113102767757804,5.75325994545701,13.0,2024-03-11
86,Isaiah Stewart,Over,-103,11.5,-0.06314029009747432,Caesars,player_points,Detroit Pistons,10.571428571428571,10.715823381494605,0.4751944187442153,0.44697244866963604,Charlotte Hornets,1.01365896851976,3.5229857466967665,12.0,2024-03-11
87,Isaiah Stewart,Under,-133,11.5,-0.03613723386176925,Caesars,player_points,Detroit Pistons,10.571428571428571,10.715823381494605,0.5345961961613012,0.5159511488346161,Charlotte Hornets,1.01365896851976,3.5229857466967665,11.0,2024-03-11
88,Grant Williams,Over,-103,13.5,-0.15678866133825928,Caesars,player_points,Charlotte Hornets,11.4,11.528937155243897,0.4751944187442153,0.4107875834419703,Detroit Pistons,1.0113102767757804,6.232048599944172,14.0,2024-03-11
89,Grant Williams,Under,-133,13.5,0.03709062482978875,Caesars,player_points,Charlotte Hornets,11.4,11.528937155243897,0.5345961961613012,0.5551884839285128,Detroit Pistons,1.0113102767757804,6.232048599944172,13.0,2024-03-11
90,Brandon Miller,Over,-127,20.5,-0.12610234171528767,Caesars,player_points,Charlotte Hornets,19.3,19.518288341772564,0.5239719135043246,0.4652968865211723,Detroit Pistons,1.0113102767757804,5.044771198590157,21.0,2024-03-11
91,Brandon Miller,Under,-108,20.5,0.054481079498113476,Caesars,player_points,Charlotte Hornets,19.3,19.518288341772564,0.48628465443186036,0.5143045198648567,Detroit Pistons,1.0113102767757804,5.044771198590157,20.0,2024-03-11
92,Jalen Duren,Over,-131,13.5,-0.22179936011068938,Caesars,player_points,Detroit Pistons,12.0,12.163907622237119,0.5311160920297952,0.43469992649339617,Charlotte Hornets,1.01365896851976,3.2419444908314907,14.0,2024-03-11
93,Jalen Duren,Under,-104,13.5,0.10380719043394136,Caesars,player_points,Detroit Pistons,12.0,12.163907622237119,0.4774559570020879,0.5327603077213648,Charlotte Hornets,1.01365896851976,3.2419444908314907,13.0,2024-03-11
94,Nick Richards,Over,129,12.5,0.07235327667128155,Caesars,player_points,Charlotte Hornets,11.3,11.42780612756632,0.4089730232970522,0.44087152254418044,Detroit Pistons,1.0113102767757804,5.482624211266533,13.0,2024-03-11
95,Nick Richards,Under,-179,12.5,-0.14577256451560217,Caesars,player_points,Charlotte Hornets,11.3,11.42780612756632,0.6008678565580453,0.5244215782144112,Detroit Pistons,1.0113102767757804,5.482624211266533,12.0,2024-03-11
96,Miles Bridges,Over,-111,23.5,-0.1379276529754824,Caesars,player_points,Charlotte Hornets,20.5,20.731860673903498,0.4926865061226431,0.43296821624323284,Detroit Pistons,1.0113102767757804,7.052974155946161,24.0,2024-03-11
97,Miles Bridges,Under,-123,23.5,0.057335993203938625,Caesars,player_points,Charlotte Hornets,20.5,20.731860673903498,0.5165714415788372,0.5479910528615247,Detroit Pistons,1.0113102767757804,7.052974155946161,23.0,2024-03-11
98,Vasilije Micic,Over,-113,13.5,-0.414340748047333,Caesars,player_points,Charlotte Hornets,10.1,10.214233795435382,0.4968542217773624,0.3512973959516681,Detroit Pistons,1.0113102767757804,5.75325994545701,14.0,2024-03-11
99,Vasilije Micic,Under,-121,13.5,0.16181499614039205,Caesars,player_points,Charlotte Hornets,10.1,10.214233795435382,0.5127707467211774,0.6117632078359924,Detroit Pistons,1.0113102767757804,5.75325994545701,13.0,2024-03-11
100,Cade Cunningham,Over,-129,23.5,-0.0384696119163625,Caesars,player_points,Detroit Pistons,24.5,24.83464472873412,0.5275752000531972,0.5080314281701752,Charlotte Hornets,1.01365896851976,7.815550235572959,24.0,2024-03-11
101,Cade Cunningham,Under,-106,23.5,-0.012595497210038373,Caesars,player_points,Detroit Pistons,24.5,24.83464472873412,0.4819131634714876,0.47591873043014965,Charlotte Hornets,1.01365896851976,7.815550235572959,23.0,2024-03-11
102,Davis Bertans,Over,-115,11.5,-0.20150192696338393,Caesars,player_points,Charlotte Hornets,9.9,10.011971740080227,0.5009443985361799,0.41693183114757193,Detroit Pistons,1.0113102767757804,3.992492955535426,12.0,2024-03-11
103,Davis Bertans,Under,-119,11.5,0.06407900866007556,Caesars,player_points,Charlotte Hornets,9.9,10.011971740080227,0.5089006327793594,0.5437431551255033,Detroit Pistons,1.0113102767757804,3.992492955535426,11.0,2024-03-11
104,Jaden Ivey,Over,-127,17.5,-0.26092571634171097,Caesars,player_points,Detroit Pistons,14.8,15.002152734092448,0.5239719135043246,0.4155454256453028,Charlotte Hornets,1.01365896851976,8.855529807033868,18.0,2024-03-11
105,Jaden Ivey,Under,-108,17.5,0.12898124928837118,Caesars,player_points,Detroit Pistons,14.8,15.002152734092448,0.48628465443186036,0.5582941286103912,Charlotte Hornets,1.01365896851976,8.855529807033868,17.0,2024-03-11
106,Ausar Thompson,Over,-129,10.5,-0.1147380949302544,Caesars,player_points,Detroit Pistons,10.3,10.440687375753528,0.5275752000531972,0.4732727825958132,Charlotte Hornets,1.01365896851976,3.5070709267508082,11.0,2024-03-11
107,Ausar Thompson,Under,-106,10.5,0.013561490398455651,Caesars,player_points,Detroit Pistons,10.3,10.440687375753528,0.4819131634714876,0.48853847328623506,Charlotte Hornets,1.01365896851976,3.5070709267508082,10.0,2024-03-11
108,Ausar Thompson,Over,-130,10.5,-0.11849521692193038,BetMGM,player_points,Detroit Pistons,10.3,10.440687375753528,0.5293533436327497,0.4732727825958132,Charlotte Hornets,1.01365896851976,3.5070709267508082,11.0,2024-03-11
109,Ausar Thompson,Under,-105,10.5,0.01810101414259533,BetMGM,player_points,Detroit Pistons,10.3,10.440687375753528,0.479695431472079,0.48853847328623506,Charlotte Hornets,1.01365896851976,3.5070709267508082,10.0,2024-03-11
110,Jalen Duren,Over,-120,13.5,-0.17516579674768581,BetMGM,player_points,Detroit Pistons,12.0,12.163907622237119,0.5108444854637724,0.43469992649339617,Charlotte Hornets,1.01365896851976,3.2419444908314907,14.0,2024-03-11
111,Jalen Duren,Under,-115,13.5,0.059718993183375,BetMGM,player_points,Detroit Pistons,12.0,12.163907622237119,0.5009443985361799,0.5327603077213648,Charlotte Hornets,1.01365896851976,3.2419444908314907,13.0,2024-03-11
