outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Bilal Coulibaly,Over,-110,8.5,-0.06422039996712109,DraftKings,player_points,Washington Wizards,8.2,8.16391630511651,0.49057287889774975,0.46096924933303846,Charlotte Hornets,0.9955995494044526,5.196152422706632,9.0,2024-03-08
Bilal Coulibaly,Under,-120,8.5,-0.04205559103023857,DraftKings,player_points,Washington Wizards,8.2,8.16391630511651,0.5108444854637724,0.4902276710196631,Charlotte Hornets,0.9955995494044526,5.196152422706632,8.0,2024-03-08
Brandon Miller,Over,-110,20.5,-0.12885008947636512,DraftKings,player_points,Charlotte Hornets,17.9,18.818462344028873,0.49057287889774975,0.4345775258124041,Washington Wizards,1.0513107454764734,5.679343119728278,21.0,2024-03-08
Brandon Miller,Under,-120,20.5,0.06168372561225322,DraftKings,player_points,Charlotte Hornets,17.9,18.818462344028873,0.5108444854637724,0.544426756103212,Washington Wizards,1.0513107454764734,5.679343119728278,20.0,2024-03-08
Deni Avdija,Over,-135,15.5,0.03204591991754708,DraftKings,player_points,Washington Wizards,18.6,18.51815161892282,0.538017064477803,0.5558291199433482,Charlotte Hornets,0.9955995494044526,10.123240587875012,16.0,2024-03-08
Deni Avdija,Under,105,15.5,-0.0802094147993925,DraftKings,player_points,Washington Wizards,18.6,18.51815161892282,0.45685279187817046,0.422929837139971,Charlotte Hornets,0.9955995494044526,10.123240587875012,15.0,2024-03-08
Jordan Poole,Over,-125,19.5,0.004524209948776472,DraftKings,player_points,Washington Wizards,21.2,21.106710447374393,0.5203045685279164,0.5226692338757364,Charlotte Hornets,0.9955995494044526,9.897921909748929,20.0,2024-03-08
Jordan Poole,Under,-105,19.5,-0.04624483782640681,DraftKings,player_points,Washington Wizards,21.2,21.106710447374393,0.479695431472079,0.4584925192736484,Charlotte Hornets,0.9955995494044526,9.897921909748929,19.0,2024-03-08
Kyle Kuzma,Over,-130,22.5,-0.015202008961218441,DraftKings,player_points,Washington Wizards,24.3,24.193069050528198,0.5293533436327497,0.5214266116104301,Charlotte Hornets,0.9955995494044526,5.200736125780657,23.0,2024-03-08
Kyle Kuzma,Under,100,22.5,-0.013294787321039848,DraftKings,player_points,Washington Wizards,24.3,24.193069050528198,0.4682741116751247,0.4621301890964554,Charlotte Hornets,0.9955995494044526,5.200736125780657,22.0,2024-03-08
Miles Bridges,Over,-110,23.5,-0.2539716392535496,DraftKings,player_points,Charlotte Hornets,18.6,19.55437986586241,0.49057287889774975,0.3912152903153157,Washington Wizards,1.0513107454764734,6.0413625070697625,24.0,2024-03-08
Miles Bridges,Under,-120,23.5,0.13271488237229345,DraftKings,player_points,Charlotte Hornets,18.6,19.55437986586241,0.5108444854637724,0.5890156248283036,Washington Wizards,1.0513107454764734,6.0413625070697625,23.0,2024-03-08
Nick Richards,Over,-130,11.5,-0.10273638255779431,DraftKings,player_points,Charlotte Hornets,11.4,11.984942498431797,0.5293533436327497,0.48003616458624127,Washington Wizards,1.0513107454764734,5.396615308702619,12.0,2024-03-08
Nick Richards,Under,100,11.5,0.03783448187521542,DraftKings,player_points,Charlotte Hornets,11.4,11.984942498431797,0.4682741116751247,0.48668768819295144,Washington Wizards,1.0513107454764734,5.396615308702619,11.0,2024-03-08
Tre Mann,Over,-120,11.5,-0.028246718636153693,DraftKings,player_points,Charlotte Hornets,11.9,12.510597871170035,0.5108444854637724,0.49681119930180423,Washington Wizards,1.0513107454764734,4.7916076772030705,12.0,2024-03-08
Tre Mann,Under,-110,11.5,-0.04083731287075132,DraftKings,player_points,Charlotte Hornets,11.9,12.510597871170035,0.49057287889774975,0.4713252232903644,Washington Wizards,1.0513107454764734,4.7916076772030705,11.0,2024-03-08
Tyus Jones,Over,100,11.5,-0.10165063553950805,DraftKings,player_points,Washington Wizards,10.1,10.055555448984972,0.4682741116751247,0.42506589345886253,Charlotte Hornets,0.9955995494044526,5.86609845733185,12.0,2024-03-08
Tyus Jones,Under,-130,11.5,0.01177144358914195,DraftKings,player_points,Washington Wizards,10.1,10.055555448984972,0.5293533436327497,0.5356588212298835,Charlotte Hornets,0.9955995494044526,5.86609845733185,11.0,2024-03-08
Vasilije Micic,Over,-125,13.5,-0.7424994414648584,DraftKings,player_points,Charlotte Hornets,9.0,9.461796709288262,0.5203045685279164,0.2985966917099925,Washington Wizards,1.0513107454764734,6.132711981660316,14.0,2024-03-08
Vasilije Micic,Under,-105,13.5,0.2773082423880175,DraftKings,player_points,Charlotte Hornets,9.0,9.461796709288262,0.479695431472079,0.663762145367694,Washington Wizards,1.0513107454764734,6.132711981660316,13.0,2024-03-08
Kyle Kuzma,Over,-120,22.5,0.020294564778684365,BetMGM,player_points,Washington Wizards,24.3,24.193069050528198,0.5108444854637724,0.5214266116104301,Charlotte Hornets,0.9955995494044526,5.200736125780657,23.0,2024-03-08
Kyle Kuzma,Under,-110,22.5,-0.06154692005061326,BetMGM,player_points,Washington Wizards,24.3,24.193069050528198,0.49057287889774975,0.4621301890964554,Charlotte Hornets,0.9955995494044526,5.200736125780657,22.0,2024-03-08
Deni Avdija,Over,-120,15.5,0.08093248961868131,BetMGM,player_points,Washington Wizards,18.6,18.51815161892282,0.5108444854637724,0.5558291199433482,Charlotte Hornets,0.9955995494044526,10.123240587875012,16.0,2024-03-08
Deni Avdija,Under,-110,15.5,-0.15993915732030015,BetMGM,player_points,Washington Wizards,18.6,18.51815161892282,0.49057287889774975,0.422929837139971,Charlotte Hornets,0.9955995494044526,10.123240587875012,15.0,2024-03-08
Bilal Coulibaly,Over,-110,8.5,-0.06422039996712109,BetMGM,player_points,Washington Wizards,8.2,8.16391630511651,0.49057287889774975,0.46096924933303846,Charlotte Hornets,0.9955995494044526,5.196152422706632,9.0,2024-03-08
Bilal Coulibaly,Under,-120,8.5,-0.04205559103023857,BetMGM,player_points,Washington Wizards,8.2,8.16391630511651,0.5108444854637724,0.4902276710196631,Charlotte Hornets,0.9955995494044526,5.196152422706632,8.0,2024-03-08
Brandon Miller,Over,-110,20.5,-0.12885008947636512,BetMGM,player_points,Charlotte Hornets,17.9,18.818462344028873,0.49057287889774975,0.4345775258124041,Washington Wizards,1.0513107454764734,5.679343119728278,21.0,2024-03-08
Brandon Miller,Under,-120,20.5,0.06168372561225322,BetMGM,player_points,Charlotte Hornets,17.9,18.818462344028873,0.5108444854637724,0.544426756103212,Washington Wizards,1.0513107454764734,5.679343119728278,20.0,2024-03-08
Nick Richards,Over,-125,11.5,-0.08388618798415694,BetMGM,player_points,Charlotte Hornets,11.4,11.984942498431797,0.5203045685279164,0.48003616458624127,Washington Wizards,1.0513107454764734,5.396615308702619,12.0,2024-03-08
Nick Richards,Under,-105,11.5,0.014367030213635296,BetMGM,player_points,Charlotte Hornets,11.4,11.984942498431797,0.479695431472079,0.48668768819295144,Washington Wizards,1.0513107454764734,5.396615308702619,11.0,2024-03-08
Jordan Poole,Over,-125,19.5,0.004524209948776472,BetMGM,player_points,Washington Wizards,21.2,21.106710447374393,0.5203045685279164,0.5226692338757364,Charlotte Hornets,0.9955995494044526,9.897921909748929,20.0,2024-03-08
Jordan Poole,Under,-105,19.5,-0.04624483782640681,BetMGM,player_points,Washington Wizards,21.2,21.106710447374393,0.479695431472079,0.4584925192736484,Charlotte Hornets,0.9955995494044526,9.897921909748929,19.0,2024-03-08
Tyus Jones,Over,-110,11.5,-0.15411018961281805,BetMGM,player_points,Washington Wizards,10.1,10.055555448984972,0.49057287889774975,0.42506589345886253,Charlotte Hornets,0.9955995494044526,5.86609845733185,12.0,2024-03-08
