,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Aleksej Pokusevski,Over,-125,6.5,0.08512516784437299,DraftKings,player_points,Charlotte Hornets,8.2,6.9320948574462165,0.5203045685279164,0.568716670565716,Dallas Mavericks,0.9862829158531832,3.6600434925485437,7.0,2024-04-09
1,Aleksej Pokusevski,Over,-125,6.5,0.0732489180881205,DraftKings,player_points,Charlotte Hornets,8.2,7.762355917962232,0.5203045685279164,0.5614286065407472,Dallas Mavericks,0.9862829158531832,3.6600434925485437,7.0,2024-04-09
2,Aleksej Pokusevski,Under,-105,6.5,-0.277540419670503,DraftKings,player_points,Charlotte Hornets,8.2,6.9320948574462165,0.479695431472079,0.3754835652055531,Dallas Mavericks,0.9862829158531832,3.6600434925485437,6.0,2024-04-09
3,Aleksej Pokusevski,Under,-105,6.5,-0.23496681451218243,DraftKings,player_points,Charlotte Hornets,8.2,7.762355917962232,0.479695431472079,0.3884277907998369,Dallas Mavericks,0.9862829158531832,3.6600434925485437,6.0,2024-04-09
4,Brandon Miller,Over,-120,18.5,0.051566605624326786,DraftKings,player_points,Charlotte Hornets,20.8,18.565160732955864,0.5108444854637724,0.5386192520140508,Dallas Mavericks,0.9862829158531832,6.867294242440721,19.0,2024-04-09
5,Brandon Miller,Under,-110,18.5,-0.11478937895587822,DraftKings,player_points,Charlotte Hornets,20.8,18.565160732955864,0.49057287889774975,0.44005880227996497,Dallas Mavericks,0.9862829158531832,6.867294242440721,18.0,2024-04-09
6,Daniel Gafford,Over,-110,11.5,-0.10604009024412168,DraftKings,player_points,Dallas Mavericks,10.4,11.267579135545809,0.49057287889774975,0.44353987095483316,Charlotte Hornets,1.0095894759484376,5.3451814007992935,12.0,2024-04-09
7,Daniel Gafford,Under,-120,11.5,0.01993195312651667,DraftKings,player_points,Dallas Mavericks,10.4,11.267579135545809,0.5108444854637724,0.5212336909599473,Charlotte Hornets,1.0095894759484376,5.3451814007992935,11.0,2024-04-09
8,Davis Bertans,Over,-140,8.5,-0.17742688509879442,DraftKings,player_points,Charlotte Hornets,8.2,8.852019588340236,0.5463197969543122,0.46399466826211644,Dallas Mavericks,0.9862829158531832,4.689169371843292,9.0,2024-04-09
9,Davis Bertans,Over,-140,8.5,-0.1800035350743897,DraftKings,player_points,Charlotte Hornets,8.2,8.60907457703857,0.5463197969543122,0.4629814917629642,Dallas Mavericks,0.9862829158531832,4.689169371843292,9.0,2024-04-09
