,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
0,Alex Caruso,Over,110,8.5,0.19012332775871474,DraftKings,player_points,Chicago Bulls,10.4,10.99280583041615,0.44597534445249976,0.5506706881904496,Miami Heat,0.9213780022013176,4.522054797526975,9.0,2024-04-18
1,Alex Caruso,Under,-130,8.5,-0.2799046707879858,DraftKings,player_points,Chicago Bulls,10.4,10.99280583041615,0.5293533436327497,0.4135881020786088,Miami Heat,0.9213780022013176,4.522054797526975,8.0,2024-04-18
2,Ayo Dosunmu,Over,-118,14.5,0.10323495929866987,DraftKings,player_points,Chicago Bulls,17.9,17.638394541415888,0.50693894658408,0.5652974007412465,Miami Heat,0.9213780022013176,6.580970414584246,15.0,2024-04-18
3,Ayo Dosunmu,Under,-102,14.5,-0.14643868388954584,DraftKings,player_points,Chicago Bulls,17.9,17.638394541415888,0.4729104890184428,0.41250395303653725,Miami Heat,0.9213780022013176,6.580970414584246,14.0,2024-04-18
4,Bam Adebayo,Over,-102,20.5,-0.2741093010388909,DraftKings,player_points,Miami Heat,15.3,17.338005721312847,0.4729104890184428,0.37116948179629344,Chicago Bulls,1.0124045850077763,4.902571592609313,21.0,2024-04-18
5,Bam Adebayo,Under,-118,20.5,0.16461889843019664,DraftKings,player_points,Miami Heat,15.3,17.338005721312847,0.50693894658408,0.6068355456347618,Chicago Bulls,1.0124045850077763,4.902571592609313,20.0,2024-04-18
6,Caleb Martin,Over,105,11.5,-0.3297779489411165,DraftKings,player_points,Miami Heat,8.0,9.931023968622814,0.45685279187817046,0.34355569833441435,Chicago Bulls,1.0124045850077763,5.759937447079367,12.0,2024-04-18
7,Caleb Martin,Under,-125,11.5,0.1590437267978631,DraftKings,player_points,Miami Heat,8.0,9.931023968622814,0.5203045685279164,0.6187058532148593,Chicago Bulls,1.0124045850077763,5.759937447079367,11.0,2024-04-18
8,Coby White,Over,102,20.5,0.021961325055753784,DraftKings,player_points,Chicago Bulls,20.0,15.361739796001334,0.46363773433180666,0.47404846680345913,Miami Heat,0.9213780022013176,9.893265030572795,21.0,2024-04-18
9,Coby White,Under,-122,20.5,-0.0293593085471211,DraftKings,player_points,Chicago Bulls,20.0,15.361739796001334,0.5146796542735605,0.5,Miami Heat,0.9213780022013176,9.893265030572795,20.0,2024-04-18
10,DeMar DeRozan,Over,-110,27.5,0.05057644318709028,DraftKings,player_points,Chicago Bulls,29.1,26.260467261293336,0.49057287889774975,0.5167060321786606,Miami Heat,0.9213780022013176,5.969562715337337,28.0,2024-04-18
11,DeMar DeRozan,Under,-110,27.5,-0.047938622879553035,DraftKings,player_points,Chicago Bulls,29.1,26.260467261293336,0.49057287889774975,0.46813130863498553,Miami Heat,0.9213780022013176,5.969562715337337,27.0,2024-04-18
12,Nikola Jovic,Over,-120,7.5,0.1992779948342242,DraftKings,player_points,Miami Heat,11.3,9.346743349708028,0.5108444854637724,0.6379798259172492,Chicago Bulls,1.0124045850077763,7.200521955758087,8.0,2024-04-18
