outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Brandon Miller,Over,-120,18.5,0.03205082788059449,DraftKings,player_points,Charlotte Hornets,20.384615384615383,19.882675121997455,0.5108444854637724,0.5277596181473411,Orlando Magic,0.975376515418743,7.291074222198637,19.0,2024-03-05
Brandon Miller,Under,-110,18.5,-0.08469608907814458,DraftKings,player_points,Charlotte Hornets,20.384615384615383,19.882675121997455,0.49057287889774975,0.4522675833695271,Orlando Magic,0.975376515418743,7.291074222198637,18.0,2024-03-05
Cole Anthony,Over,-125,9.5,-0.1131186638684732,DraftKings,player_points,Orlando Magic,9.25,9.176232316414087,0.5203045685279164,0.4674295611212534,Charlotte Hornets,0.9920251152880094,4.728019317501428,10.0,2024-03-05
Cole Anthony,Under,-105,9.5,0.019293365358590837,DraftKings,player_points,Orlando Magic,9.25,9.176232316414087,0.479695431472079,0.4891324423918855,Charlotte Hornets,0.9920251152880094,4.728019317501428,9.0,2024-03-05
Franz Wagner,Over,-115,19.5,0.035054375130813095,DraftKings,player_points,Orlando Magic,21.0,20.832527421048198,0.5009443985361799,0.5191426186362476,Charlotte Hornets,0.9920251152880094,9.119576013536301,20.0,2024-03-05
Franz Wagner,Under,-115,19.5,-0.08486159019166346,DraftKings,player_points,Orlando Magic,21.0,20.832527421048198,0.5009443985361799,0.46175881150670806,Charlotte Hornets,0.9920251152880094,9.119576013536301,19.0,2024-03-05
Gary Harris,Over,-115,7.5,-0.012193657872214665,DraftKings,player_points,Orlando Magic,7.9,7.836998410775275,0.5009443985361799,0.4949096397118723,Charlotte Hornets,0.9920251152880094,3.0805843601498726,8.0,2024-03-05
Gary Harris,Under,-115,7.5,-0.10270706056288353,DraftKings,player_points,Orlando Magic,7.9,7.836998410775275,0.5009443985361799,0.4542860170682772,Charlotte Hornets,0.9920251152880094,3.0805843601498726,7.0,2024-03-05
Jalen Suggs,Over,-115,10.5,0.0456807021592513,DraftKings,player_points,Orlando Magic,11.727272727272727,11.633749079286655,0.5009443985361799,0.5249232617108562,Charlotte Hornets,0.9920251152880094,4.179841430026418,11.0,2024-03-05
Jalen Suggs,Under,-115,10.5,-0.13596545773677954,DraftKings,player_points,Orlando Magic,11.727272727272727,11.633749079286655,0.5009443985361799,0.44098559082441424,Charlotte Hornets,0.9920251152880094,4.179841430026418,10.0,2024-03-05
Miles Bridges,Over,-105,22.5,0.0356789150603764,DraftKings,player_points,Charlotte Hornets,22.857142857142858,22.294320352428414,0.479695431472079,0.4974436823624082,Orlando Magic,0.975376515418743,9.226182795695728,23.0,2024-03-05
Miles Bridges,Under,-125,22.5,-0.07353273933542645,DraftKings,player_points,Charlotte Hornets,22.857142857142858,22.294320352428414,0.5203045685279164,0.48466576701704733,Orlando Magic,0.975376515418743,9.226182795695728,22.0,2024-03-05
Nick Richards,Over,-105,11.5,0.002280800598920115,DraftKings,player_points,Charlotte Hornets,11.461538461538462,11.179315445953286,0.479695431472079,0.4807920222042785,Orlando Magic,0.975376515418743,4.955422587201971,12.0,2024-03-05
Nick Richards,Under,-125,11.5,-0.07604473092101087,DraftKings,player_points,Charlotte Hornets,11.461538461538462,11.179315445953286,0.5203045685279164,0.4835343304758121,Orlando Magic,0.975376515418743,4.955422587201971,11.0,2024-03-05
Paolo Banchero,Over,-125,21.5,-0.03312329602196454,DraftKings,player_points,Orlando Magic,22.2,22.02295755939381,0.5203045685279164,0.5036229175465757,Charlotte Hornets,0.9920251152880094,7.025667228100119,22.0,2024-03-05
Paolo Banchero,Under,-105,21.5,-0.0029742090224213888,DraftKings,player_points,Orlando Magic,22.2,22.02295755939381,0.479695431472079,0.47827294775568396,Charlotte Hornets,0.9920251152880094,7.025667228100119,21.0,2024-03-05
Tre Mann,Over,-105,11.5,-0.036348645103728004,DraftKings,player_points,Charlotte Hornets,11.0,10.729141669606173,0.479695431472079,0.46287070836481514,Orlando Magic,0.975376515418743,4.381780460041329,12.0,2024-03-05
Tre Mann,Under,-125,11.5,-0.0406091370558328,DraftKings,player_points,Charlotte Hornets,11.0,10.729141669606173,0.5203045685279164,0.5,Orlando Magic,0.975376515418743,4.381780460041329,11.0,2024-03-05
Wendell Carter Jr.,Over,-110,11.5,0.02426648308170275,DraftKings,player_points,Orlando Magic,12.083333333333334,11.986970143063447,0.49057287889774975,0.5027734216276059,Charlotte Hornets,0.9920251152880094,5.073761479962924,12.0,2024-03-05
Wendell Carter Jr.,Under,-120,11.5,-0.10097158693896509,DraftKings,player_points,Orlando Magic,12.083333333333334,11.986970143063447,0.5108444854637724,0.46399424973724795,Charlotte Hornets,0.9920251152880094,5.073761479962924,11.0,2024-03-05
Paolo Banchero,Over,-137,21.5,-0.07497132826589223,Caesars,player_points,Orlando Magic,22.2,22.02295755939381,0.5413801966201864,0.5036229175465757,Charlotte Hornets,0.9920251152880094,7.025667228100119,22.0,2024-03-05
Paolo Banchero,Under,100,21.5,0.02090612928763627,Caesars,player_points,Orlando Magic,22.2,22.02295755939381,0.4682741116751247,0.47827294775568396,Charlotte Hornets,0.9920251152880094,7.025667228100119,21.0,2024-03-05
Nick Richards,Over,102,11.5,0.03567922735869224,Caesars,player_points,Charlotte Hornets,11.461538461538462,11.179315445953286,0.46363773433180666,0.4807920222042785,Orlando Magic,0.975376515418743,4.955422587201971,12.0,2024-03-05
