,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,59,151,19,49,384.4,6,7,266.7,15,41,344.6,0,17,17,8,9,3,5,1,-26,84,76,67,25,143.34567901234567,18.11111111111111,7.9567901234567895,10.623456790123457,212.4012345679012,214.71604938271602,146.10493827160494,20.99382716049383,10
2,A.J. Lawson,Dallas Mavericks,G,20,42,8,21,223.3,2,6,100.0,2,8,100.0,2,6,8,3,5,1,0,1,-5,31,28,23,11,29.680473372781066,5.798816568047338,1.7218934911242603,1.5266272189349113,39.142011834319526,35.2189349112426,32.124260355029584,9.0,6
3,Aaron Gordon,Denver Nuggets,PF,142,297,60,96,680.5,19,26,601.7,3,18,108.3,14,36,50,39,22,13,18,3,102,231,192,181,89,209.61451247165533,94.44444444444444,50.673469387755105,2.836734693877551,340.98185941043084,438.56689342403627,158.21995464852606,98.92743764172334,10
4,Aaron Holiday,Houston Rockets,G,37,98,15,40,259.6,2,2,100.0,5,16,206.7,1,5,6,9,11,2,3,1,-27,52,43,46,15,230.1947069943289,6.2117202268431,15.16257088846881,9.453686200378073,355.70888468809073,287.38563327032136,286.8090737240075,33.08317580340265,10
5,Aaron Nesmith,Indiana Pacers,SF,113,281,37,87,417.9,23,30,648.8,16,45,358.2,2,28,30,13,28,8,8,9,26,156,143,126,43,303.4819944598338,48.02216066481995,12.584487534626037,13.606648199445983,553.5678670360111,518.7174515235457,317.5124653739613,81.42659279778393,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,51,155,21,44,469.6,6,8,300.0,3,14,100.0,11,10,21,7,6,8,7,8,-1,79,72,58,28,203.51736111111114,8.5,8.569444444444445,11.611111111111114,249.65625,230.68402777777783,228.15625,11.402777777777777,10
7,Al Horford,Boston Celtics,C,82,257,34,59,531.4,4,4,200.0,10,26,329.3,13,47,60,19,14,6,4,8,64,161,142,101,79,196.5679012345679,56.03086419753087,32.77777777777778,10.771604938271604,465.21604938271605,318.2530864197531,329.04938271604937,103.29012345679013,10
8,Alec Burks,New York Knicks,SG,54,125,20,69,267.2,6,11,208.3,8,37,211.79999999999998,3,12,15,7,2,2,5,1,-34,76,69,61,22,211.42403628117918,12.6734693877551,3.662131519274377,8.17233560090703,336.77551020408157,290.9274376417234,250.06122448979596,23.546485260770975,10
9,Aleksej Pokusevski,Charlotte Hornets,F,18,46,7,11,205.0,2,2,100.0,2,3,150.0,2,6,8,5,2,2,4,4,29,31,26,23,13,38.0,11.666666666666664,6.749999999999999,0.75,118.75,87.66666666666666,56.75,30.75,3
10,Aleksej Pokusevski,Oklahoma City Thunder,F,6,18,2,5,100.0,1,2,50.0,1,3,100.0,0,2,2,0,0,1,0,0,-12,8,8,6,2,20.0,3.666666666666667,2.0833333333333335,0.75,56.75,39.66666666666667,32.08333333333333,10.75,3
11,Alex Caruso,Chicago Bulls,SG,87,296,32,87,375.9,5,9,225.0,18,57,310.9,5,27,32,38,25,26,12,7,-46,157,119,125,70,204.71191135734074,20.86980609418282,39.601108033241,21.88365650969529,261.96952908587264,209.0,275.06094182825484,43.09141274238227,10
