,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
116,De'Andre Hunter,Atlanta Hawks,SF,169,318,61,140,431.4,23,27,690.0,24,69,330.8,7,35,42,18,17,5,13,3,34,229,211,187,60,393.3639053254438,135.05325443786984,7.715976331360947,28.52440828402367,644.8786982248521,685.6360946745563,366.21597633136093,129.15976331360946,10
117,De'Anthony Melton,Philadelphia 76ers,SG,23,43,7,20,75.0,4,4,200.0,5,14,75.0,0,5,5,5,3,2,1,1,-2,33,28,28,10,128.66666666666666,2.666666666666667,2.666666666666667,8.666666666666666,206.0,164.66666666666669,164.66666666666669,10.666666666666668,3
118,DeAndre Jordan,Denver Nuggets,C,34,103,15,28,607.1,4,4,200.0,0,0,0.0,15,28,43,5,13,1,2,5,-11,82,77,39,48,99.35069444444444,72.35069444444444,10.23611111111111,0.0,323.40277777777777,232.27777777777777,156.15625,116.90625,10
119,DeJon Jarreau,Memphis Grizzlies,F,43,150,17,50,308.3,5,11,250.0,4,13,141.7,8,36,44,26,14,6,9,2,-24,113,87,69,70,76.49913494809688,82.25,42.937716262975776,4.228373702422145,312.83044982698965,146.30795847750866,155.90397923875435,212.3053633217993,9
120,DeMar DeRozan,Chicago Bulls,SF,243,361,80,166,469.0,77,92,853.1,6,28,156.7,5,44,49,50,15,12,18,6,22,342,292,293,99,848.4489142043432,57.071911712353156,76.60163759344962,4.701317194731222,1371.2609469562121,1215.8618725525098,962.1342114631542,175.3873264506942,10
121,Dean Wade,Cleveland Cavaliers,PF,46,178,15,35,260.2,5,7,216.7,11,31,233.4,4,27,31,7,8,3,1,9,-23,84,77,53,38,468.50000000000006,35.125,6.125,31.525000000000006,718.8,714.725,466.12499999999994,47.699999999999996,10
122,Deandre Ayton,Portland Trail Blazers,C,229,346,105,167,627.8,18,22,450.0,1,3,100.0,39,97,136,14,15,7,22,9,-35,379,365,243,150,638.5704894083273,219.7589481373265,6.410518626734843,0.9006574141709277,1419.390065741417,1479.582907231556,602.2505478451425,202.29656683710735,10
123,Dejounte Murray,Atlanta Hawks,SG,280,383,105,234,463.0,27,35,645.3,43,111,394.6,8,41,49,94,16,25,32,4,13,423,329,374,143,885.1165980795611,58.72565157750343,95.23456790123458,40.401234567901234,774.2345679012346,1041.938271604938,610.1865569272975,161.1865569272977,10
124,Delon Wright,Miami Heat,SG,43,184,15,46,314.7,9,12,283.3,4,18,75.0,5,17,22,26,5,8,1,2,7,91,65,69,48,144.90625,8.356250000000001,31.3,6.456250000000001,225.3,170.6,204.15625,35.106249999999996,10
125,Deni Avdija,Washington Wizards,SF,174,345,67,136,502.0,29,44,658.7,11,36,287.5,20,74,94,33,24,9,21,3,-39,301,268,207,127,106.79912344777208,98.64572680788896,23.946676406135868,11.086194302410519,362.1234477720964,288.7538349159971,179.9159970781592,122.84514243973703,10
