,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,72,146,24,55,410.6,5,6,266.7,19,47,375.3,1,16,17,10,9,3,6,1,-20,99,89,82,27,521.5390625,12.2890625,12.9765625,38.0390625,654.2265625,532.5,644.40625,24.125,10
2,A.J. Lawson,Dallas Mavericks,G,14,31,6,13,170.0,1,4,50.0,1,4,50.0,2,4,6,1,4,0,0,1,-7,21,20,15,7,27.950413223140497,5.983471074380166,0.7685950413223139,0.8512396694214874,35.0,33.04132231404959,28.43801652892562,8.223140495867767,4
3,Aaron Gordon,Denver Nuggets,PF,148,299,60,102,644.9,25,31,635.0,3,18,108.3,17,46,63,40,21,13,21,3,104,251,211,188,103,307.7950138504155,164.18005540166206,42.692520775623265,2.401662049861496,672.7229916897508,836.7950138504156,239.25207756232686,111.34349030470914,10
4,Aaron Holiday,Houston Rockets,G,51,119,19,46,263.4,3,3,100.0,10,21,269.2,3,4,7,13,14,5,7,1,-41,71,58,64,20,354.925,5.700000000000001,9.7,24.1,423.925,421.625,356.62500000000006,16.0,10
5,Aaron Nesmith,Indiana Pacers,SF,114,275,38,84,440.6,22,31,598.8,16,43,381.5,4,26,30,16,30,8,12,6,8,160,144,130,46,335.77777777777777,54.400000000000006,16.0,8.57777777777778,672.1777777777778,581.7777777777778,389.77777777777777,106.80000000000001,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,64,161,24,47,490.0,9,10,450.0,7,18,300.0,11,12,23,4,9,10,9,7,46,91,87,68,27,149.98185941043084,7.816326530612247,4.489795918367347,7.662131519274377,196.83219954648527,158.31519274376416,183.11111111111111,17.693877551020414,10
7,Al Horford,Boston Celtics,C,75,252,31,60,451.4,6,6,300.0,7,25,229.3,13,48,61,15,14,5,4,8,55,151,136,90,76,200.53086419753086,53.44444444444444,30.475308641975303,7.364197530864198,500.7716049382716,340.71604938271605,331.51234567901236,112.99382716049384,10
8,Alec Burks,New York Knicks,SG,65,148,24,84,261.0,7,13,258.3,10,41,231.79999999999998,5,11,16,8,6,2,6,1,-51,89,81,73,24,164.10493827160496,12.271604938271606,4.9444444444444455,5.111111111111111,251.4444444444444,236.5,178.08641975308643,18.179012345679013,10
9,Aleksej Pokusevski,Charlotte Hornets,F,7,8,2,2,100.0,2,2,100.0,1,1,100.0,0,2,2,0,0,1,1,1,7,9,9,7,2,6.25,0.5625,0.0,0.0625,10.5625,10.5625,6.25,0.5625,1
10,Aleksej Pokusevski,Oklahoma City Thunder,F,4,13,1,3,50.0,1,2,50.0,1,2,100.0,0,1,1,0,0,1,0,0,-8,5,5,4,1,20.5,1.625,0.0,0.625,33.625,33.625,20.5,1.625,2
11,Alex Caruso,Chicago Bulls,SG,85,301,33,80,437.4,4,5,200.0,15,49,331.7,6,28,34,33,27,25,11,12,-21,152,119,118,67,114.89999999999999,35.625,42.125,10.600000000000001,137.20000000000002,149.125,136.225,44.5,10
12,Alex Len,Sacramento Kings,C,29,92,13,24,386.7,3,7,60.0,0,1,0.0,10,16,26,4,12,4,6,7,18,59,55,33,30,104.40236686390533,5.994082840236688,4.485207100591716,0.0,102.56213017751479,101.09467455621301,110.05917159763312,6.289940828402368,9
13,Alondes Williams,Miami Heat,G,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,-2,1,1,0,1,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,1
14,Alperen Sengun,Houston Rockets,C,214,329,82,159,512.7,45,73,651.5,5,14,250.0,42,64,106,49,38,15,27,8,-9,369,320,263,155,800.0,198.8,119.92500000000001,4.6000000000000005,1735.925,1511.6000000000001,893.325,449.72499999999997,10
15,Amen Thompson,Houston Rockets,F,97,227,40,83,396.6,16,25,468.3,1,12,33.3,26,41,67,18,26,15,11,17,0,182,164,115,85,548.0612244897959,77.6938775510204,20.839002267573694,0.927437641723356,1013.1383219954648,819.6734693877552,728.1111111111111,111.94784580498865,10
16,Amir Coffey,LA Clippers,SG,46,220,18,50,295.0,4,5,250.0,6,22,225.0,5,16,21,16,15,10,6,2,-7,83,67,62,37,208.43100189035917,29.249527410207946,14.215500945179583,7.379962192816635,314.8638941398866,255.01890359168237,269.88279773156904,41.85822306238185,10
17,Andre Drummond,Chicago Bulls,C,92,205,37,73,398.9,18,28,666.7,0,0,0.0,36,68,104,2,21,2,13,7,25,198,196,94,106,322.28512396694214,349.14049586776855,1.6033057851239667,0.0,1124.3347107438017,1084.5661157024792,335.27685950413223,377.52066115702473,10
18,Andre Jr. Jackson,Milwaukee Bucks,G,8,62,3,8,233.3,0,0,0.0,2,5,200.0,0,8,8,8,6,3,2,0,-3,24,16,16,16,11.58677685950413,3.0,8.256198347107436,1.4380165289256195,32.2809917355372,25.132231404958677,17.644628099173552,12.347107438016527,5
19,Andrew Nembhard,Indiana Pacers,PG,100,294,43,80,586.2,2,3,66.7,12,27,516.7,7,23,30,34,21,17,13,1,-8,164,130,134,64,75.09141274238229,38.443213296398895,41.91689750692521,5.689750692520775,130.79778393351802,77.08033240997229,124.44875346260388,84.72022160664821,10
20,Andrew Wiggins,Golden State Warriors,SF,128,257,49,100,478.1,13,15,616.7,17,37,456.6,10,28,38,22,18,12,8,3,16,188,166,150,60,242.34903047091413,40.2382271468144,11.689750692520775,8.878116343490305,335.73407202216066,330.404432132964,241.3573407202216,58.24930747922438,10
21,Anfernee Simons,Portland Trail Blazers,SG,215,375,77,186,411.3,28,31,857.1,33,85,383.3,5,35,40,62,25,6,39,0,-66,317,255,277,102,747.9478458049886,24.566893424036284,125.12471655328798,24.410430839002267,1172.219954648526,753.0,1123.308390022676,193.55102040816328,10
22,Anthony Black,Orlando Magic,G,70,238,23,55,366.9,11,16,450.0,13,25,408.3,7,23,30,11,17,6,9,2,23,111,100,81,41,341.19113573407196,56.0,5.565096952908587,18.196675900277008,520.1468144044321,480.6648199445983,377.51523545706374,64.72299168975069,10
23,Anthony Davis,Los Angeles Lakers,PF,251,363,96,171,561.1,58,69,758.4,1,10,33.3,27,104,131,22,23,8,16,23,8,404,382,273,153,634.925,26.5,43.22500000000001,1.125,842.5,877.8250000000002,627.0,42.32499999999999,10
