,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,54,147,17,42,404.8,7,8,266.7,13,35,339.3,2,14,16,6,9,3,3,1,25,76,70,60,22,256.93100189035914,18.5,9.550094517958414,24.5,378.835538752363,374.17013232514176,260.1181474480152,29.52835538752363,10
2,A.J. Lawson,Dallas Mavericks,G,26,47,11,24,323.3,2,6,100.0,2,8,100.0,2,7,9,3,5,1,0,1,2,38,35,29,12,39.75858480749219,7.929240374609782,2.3423517169614985,1.7710718002081167,59.0,51.72944849115504,43.380853277835584,13.919875130072842,7
3,Aaron Gordon,Denver Nuggets,PF,138,314,54,96,649.8,25,37,646.7,5,17,158.3,24,39,63,44,22,3,17,4,53,245,201,182,107,232.70274118903524,115.99964400142399,51.7123531505874,4.5222499110003564,376.1456034175863,518.7970808116768,137.60911356354575,120.15414738341047,10
4,Aaron Holiday,Houston Rockets,G,54,144,18,48,303.1,12,12,400.0,6,22,228.3,4,8,12,21,14,5,3,1,21,87,66,75,33,249.66468489892983,11.809750297265161,33.27288941736028,9.384661117717004,426.29072532699166,341.2104637336504,332.5856123662307,47.24197384066587,10
5,Aaron Nesmith,Indiana Pacers,SF,122,316,42,100,431.2,17,17,600.0,21,57,383.7,8,29,37,19,36,6,7,11,67,178,159,141,56,107.74778931180316,12.780084582852751,13.896578239138794,9.218377547097269,109.66935793925413,111.09381007304883,97.27681660899654,35.72318339100346,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,70,164,28,44,605.8,6,9,180.0,8,15,275.0,9,13,22,13,4,6,11,5,-3,105,92,83,35,227.7647462277092,13.890260631001372,8.530178326474623,12.253086419753085,339.71604938271605,348.24211248285326,225.1454046639232,16.51371742112483,10
7,Admiral Schofield,Orlando Magic,SF,8,18,3,6,116.7,0,0,0.0,2,4,150.0,0,4,4,1,1,1,0,0,-20,13,12,9,5,16.56786703601108,1.0,0.7590027700831024,0.9335180055401662,24.825484764542935,20.515235457063714,19.193905817174517,3.4432132963988917,3
8,Al Horford,Boston Celtics,C,114,292,42,78,566.4,8,8,400.0,22,46,482.6,14,45,59,21,16,9,9,7,57,194,173,135,80,450.6061801446417,75.05785667324129,19.231426692965155,33.694937541091385,546.6692965154504,492.10322156476,506.5147928994083,92.94674556213018,10
9,Alec Burks,New York Knicks,SG,71,129,23,72,280.0,14,19,446.4,11,40,257.5,3,15,18,9,2,3,4,0,-8,98,89,80,27,291.6373966942149,21.038223140495866,3.264462809917355,9.09194214876033,498.97520661157023,450.1570247933885,330.61673553719004,34.14152892561983,10
10,Aleksej Pokusevski,Charlotte Hornets,F,66,196,24,55,507.9,12,16,466.7,6,22,283.3,11,30,41,19,9,11,9,6,-56,126,107,85,60,86.4734693877551,29.35918367346939,16.918367346938776,2.4081632653061225,223.06122448979593,173.0,122.51836734693877,60.29387755102041,10
11,Alex Caruso,Chicago Bulls,SG,121,317,42,91,432.5,11,16,375.0,26,56,464.2,8,37,45,49,26,17,16,4,-10,215,166,170,94,326.6103316326531,29.217474489795922,20.5,22.176020408163268,567.125,416.625,447.9674744897959,78.86033163265306,10
12,Alex Len,Sacramento Kings,C,35,106,12,17,516.7,11,13,525.0,0,0,0.0,8,16,24,10,15,2,3,11,24,69,59,45,34,68.5436098255607,22.564613741545035,18.227839088643645,0.0,156.97864008543968,120.93876824492702,96.97080811676753,48.40512637949448,10
13,Alondes Williams,Miami Heat,G,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,-2,1,1,0,1,4.0,0.6944444444444445,0.0,0.0,1.3611111111111107,1.3611111111111107,4.0,0.6944444444444445,1
14,Alperen Sengun,Houston Rockets,C,209,324,81,157,512.7,43,68,622.9,4,12,200.0,39,68,107,45,36,16,26,7,2,361,316,254,152,847.1723356009071,197.81632653061226,123.77551020408163,4.408163265306122,1935.0226757369614,1622.4580498866212,993.7777777777778,487.5510204081633,10
15,Amari Bailey,Charlotte Hornets,G,2,6,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,1,0,1,0,0,7,3,2,3,1,2.4930747922437675,0.0,0.5429362880886428,0.0,5.362880886426593,2.4930747922437675,5.362880886426593,0.5429362880886428,1
16,Amen Thompson,Houston Rockets,F,156,292,64,106,631.1,27,36,579.7,1,5,100.0,41,53,94,28,23,11,15,3,92,278,250,184,122,489.41338695777074,109.61907497845446,35.8758977305372,0.9103705831657569,961.7989083596667,875.2990519965526,495.4731399023269,225.93507612754954,10
17,Amir Coffey,LA Clippers,SG,66,234,24,53,457.5,4,5,250.0,14,34,376.7,4,18,22,16,14,5,7,2,-42,104,88,82,38,109.32275390625,27.64306640625,12.400390625,12.4765625,106.0,71.275390625,156.45556640625,27.63525390625,10
18,Andre Drummond,Chicago Bulls,C,90,165,32,57,573.9,26,36,684.2,0,0,0.0,28,61,89,7,13,5,7,6,20,186,179,97,96,162.0,63.90606420927468,8.19322235434007,0.0,353.4750297265161,288.87158145065393,210.26218787158146,88.44054696789536,10
