,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,55,151,17,45,424.4,8,9,366.7,13,37,384.6,1,17,18,7,8,4,5,1,-22,80,73,62,25,155.0,16.161865569272976,8.753086419753085,9.729766803840878,235.94787379972564,244.27297668038406,151.08641975308643,20.503429355281206,10
2,A.J. Lawson,Dallas Mavericks,G,20,42,8,21,223.3,2,6,100.0,2,8,100.0,2,6,8,3,5,1,0,1,-5,31,28,23,11,34.239999999999995,6.56,1.826666666666667,1.5733333333333335,50.36,44.373333333333335,38.17333333333333,10.44,6
3,Aaron Gordon,Denver Nuggets,PF,134,307,55,90,683.8,20,28,616.7,4,18,133.3,15,44,59,41,22,7,12,2,70,234,193,175,100,216.28775267538643,85.68014268727705,43.31391200951249,2.4233055885850177,368.8133174791914,447.19500594530325,166.56956004756242,100.33055885850177,10
4,Aaron Holiday,Houston Rockets,G,32,99,13,39,224.6,2,2,100.0,4,17,106.7,1,6,7,11,14,3,2,1,-20,50,39,43,18,178.353515625,3.197265625,13.125,7.625,236.0,214.125,195.322265625,21.228515625,10
5,Aaron Nesmith,Indiana Pacers,SF,104,279,33,84,397.8,22,24,725.0,16,45,369.9,5,27,32,17,33,5,6,10,20,153,136,121,49,278.00548696844993,35.9753086419753,8.108367626886146,12.598079561042525,530.7530864197529,492.95198902606325,308.4567901234568,51.43347050754457,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,53,148,22,44,519.6,6,8,300.0,3,13,100.0,10,10,20,8,6,7,8,7,-7,81,73,61,28,108.7777777777778,8.14692378328742,7.7190082644628095,7.108356290174473,116.40312213039488,120.23783287419649,112.67860422405877,8.130394857667586,10
7,Al Horford,Boston Celtics,C,104,253,41,73,559.9,6,6,300.0,16,38,339.3,15,41,56,20,17,8,5,8,92,180,160,124,76,303.37996219281666,66.46124763705104,25.20982986767486,30.73345935727788,416.01890359168243,319.531190926276,396.41209829867677,95.12665406427222,10
8,Alec Burks,New York Knicks,SG,57,125,20,68,259.9,9,12,375.0,8,34,220.79999999999998,4,11,15,9,2,2,3,1,-11,81,72,66,24,211.8137356919875,10.45681581685744,3.170655567117586,7.845993756503643,334.5816857440166,287.8876170655567,249.43808532778354,22.697190426638915,10
9,Aleksej Pokusevski,Charlotte Hornets,F,27,83,11,27,255.8,2,2,100.0,3,10,183.3,5,11,16,10,5,5,4,5,4,53,43,37,26,30.578125,12.8125,6.01953125,1.20703125,78.64453125,62.328125,34.92578125,30.80078125,5
