,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
0,A. Flagler,Oklahoma City Thunder,F,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,A.J. Green,Milwaukee Bucks,G,55,149,17,45,424.4,8,9,366.7,13,37,384.6,1,17,18,7,8,4,5,1,-16,80,73,62,25,139.44444444444443,15.611111111111114,8.350694444444445,9.15625,219.01736111111111,221.6111111111111,140.15625,20.65625,10
2,A.J. Lawson,Dallas Mavericks,G,20,42,8,21,223.3,2,6,100.0,2,8,100.0,2,6,8,3,5,1,0,1,-5,31,28,23,11,34.239999999999995,6.56,1.826666666666667,1.5733333333333335,50.36,44.373333333333335,38.17333333333333,10.44,6
3,Aaron Gordon,Denver Nuggets,PF,140,306,58,93,696.7,20,29,601.7,4,19,133.3,17,40,57,39,23,10,14,2,79,236,197,179,96,218.39999999999998,80.136,47.57599999999999,2.656,365.10400000000004,454.77599999999995,159.016,97.424,10
4,Aaron Holiday,Houston Rockets,G,32,99,13,39,224.6,2,2,100.0,4,17,106.7,1,6,7,11,14,3,2,1,-20,50,39,43,18,210.31391200951248,3.7277051129607606,12.795481569560046,8.228299643281808,284.69203329369793,255.0,234.36979785969083,22.159334126040424,10
5,Aaron Nesmith,Indiana Pacers,SF,116,277,37,88,414.9,26,31,782.1,16,44,374.9,3,28,31,16,31,5,5,10,22,163,147,132,47,318.09600000000006,39.39999999999999,8.0,13.184,531.5759999999999,517.0959999999999,325.77600000000007,54.19999999999999,10
6,Aaron Wiggins,Oklahoma City Thunder,SG,53,148,22,44,519.6,6,8,300.0,3,13,100.0,10,10,20,8,6,7,8,7,-7,81,73,61,28,130.1,8.711111111111112,7.644444444444445,8.11111111111111,145.34444444444443,149.47777777777776,133.6111111111111,8.71111111111111,10
7,Al Horford,Boston Celtics,C,90,253,36,67,488.5,4,4,200.0,14,34,289.3,14,43,57,18,15,8,5,9,77,165,147,108,75,380.5,64.125,31.2,33.625,571.7249999999999,421.125,523.7,102.72500000000001,10
8,Alec Burks,New York Knicks,SG,59,130,22,74,267.2,7,10,275.0,8,38,201.79999999999998,4,13,17,8,3,2,4,1,-22,84,76,67,25,216.42400000000004,11.016000000000002,4.384,8.224,342.89599999999996,291.29600000000005,260.20000000000005,23.223999999999997,10
9,Aleksej Pokusevski,Charlotte Hornets,F,27,83,11,27,255.8,2,2,100.0,3,10,183.3,5,11,16,10,5,5,4,5,4,53,43,37,26,30.0,13.0,6.3125,1.2013888888888888,80.8125,63.0,35.3125,31.8125,5
10,Aleksej Pokusevski,Oklahoma City Thunder,F,6,18,2,5,100.0,1,2,50.0,1,3,100.0,0,2,2,0,0,1,0,0,-12,8,8,6,2,35.0,17.0,9.1875,0.8541666666666667,163.1875,98.0,75.6875,50.6875,3
11,Alex Caruso,Chicago Bulls,SG,102,305,38,90,409.3,5,9,225.0,21,54,372.0,6,32,38,43,25,25,13,7,-9,183,140,145,81,429.264,29.904000000000003,44.104,31.0,747.064,568.336,602.6,79.39999999999999,10
12,Alex Len,Sacramento Kings,C,29,94,13,26,456.7,3,6,75.0,0,0,0.0,8,13,21,5,12,4,5,9,29,55,50,34,26,37.0,18.925,4.5,0.0,47.724999999999994,47.225,38.5,22.425,10
13,Alondes Williams,Miami Heat,G,0,6,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,-2,1,1,0,1,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,1
14,Alperen Sengun,Houston Rockets,C,209,324,81,157,512.7,43,68,622.9,4,12,200.0,39,68,107,45,36,16,26,7,2,361,316,254,152,847.1723356009071,197.81632653061226,123.77551020408163,4.408163265306122,1935.0226757369614,1622.4580498866212,993.7777777777778,487.5510204081633,10
15,Amen Thompson,Houston Rockets,F,92,208,39,66,514.4,13,16,516.7,1,6,100.0,22,40,62,15,25,15,10,8,46,169,154,107,77,491.3777777777778,67.69999999999999,30.5,0.9111111111111112,990.7777777777779,798.9444444444445,641.2111111111111,140.20000000000002,10
16,Amir Coffey,LA Clippers,SG,67,218,25,56,392.8,4,5,250.0,13,32,325.0,2,25,27,17,15,7,6,2,-25,111,94,84,44,229.70000000000002,76.27777777777777,19.0,18.2,593.8444444444444,443.24444444444447,341.3,134.27777777777777,10
17,Andre Drummond,Chicago Bulls,C,79,175,31,57,426.0,17,32,554.2,0,0,0.0,30,62,92,4,22,2,11,5,-3,175,171,83,96,328.997256515775,345.75857338820293,2.400548696844993,0.0,1120.111111111111,1052.2400548696846,366.4869684499314,378.54046639231825,10
18,Andre Jr. Jackson,Milwaukee Bucks,G,10,69,4,9,333.3,0,0,0.0,2,5,200.0,3,9,12,10,6,3,3,0,-10,32,22,20,22,10.979591836734695,7.102040816326531,7.459183673469388,1.5510204081632657,33.704081632653065,28.77551020408163,14.846938775510203,15.622448979591837,6
19,Andrew Nembhard,Indiana Pacers,PG,82,277,33,75,465.2,4,5,100.0,12,34,423.3,6,21,27,27,23,11,15,1,-28,136,109,109,54,158.5041617122473,30.2294887039239,41.79667063020215,5.771700356718193,324.8109393579073,179.4447086801427,300.8644470868015,75.03210463733649,10
20,Andrew Wiggins,Golden State Warriors,SF,138,259,52,104,497.5,18,20,650.0,16,37,423.3,12,28,40,20,16,6,10,4,0,198,178,158,60,246.44444444444443,38.5,8.017361111111112,6.5,379.4340277777778,390.27777777777777,250.01736111111114,32.10069444444444,10
21,Anfernee Simons,Portland Trail Blazers,SG,250,384,86,194,439.1,38,41,857.1,40,95,417.6,7,36,43,67,19,6,36,0,-1,360,293,317,110,643.7869822485206,30.14792899408284,96.86686390532543,14.3698224852071,1067.2455621301774,742.7869822485208,914.0621301775149,181.198224852071,10
22,Anthony Black,Orlando Magic,G,52,219,17,50,314.1,9,14,350.0,9,22,308.3,7,22,29,10,17,7,9,1,41,91,81,62,39,115.70000000000002,56.9,6.225,9.299999999999999,275.52500000000003,235.0,153.225,66.125,10
23,Anthony Davis,Los Angeles Lakers,PF,216,355,81,154,521.6,53,63,774.9,1,6,50.0,30,97,127,30,21,16,15,23,3,373,343,246,157,654.8000000000001,253.57600000000002,22.784,1.384,1579.576,1384.216,786.3039999999999,340.216,10
24,Anthony Edwards,Minnesota Timberwolves,SG,275,357,101,225,432.9,51,60,842.3,22,70,314.8,8,46,54,41,16,17,27,11,34,370,329,316,95,1043.0,57.56104252400549,29.00548696844993,24.938271604938272,1393.5775034293554,1314.7832647462278,1090.2277091906722,118.13305898491083,10
25,Anthony Gill,Washington Wizards,PF,5,26,2,7,133.3,0,0,0.0,1,3,100.0,2,3,5,3,0,4,4,0,10,13,10,8,8,7.0,4.111111111111112,7.864197530864198,0.9012345679012346,16.160493827160494,19.777777777777775,8.419753086419753,6.938271604938272,4
26,Ashton Hagans,Portland Trail Blazers,G,47,181,17,39,452.7,8,11,350.0,5,11,166.7,8,21,29,32,25,7,19,7,8,108,76,79,61,130.2,19.177777777777777,51.77777777777777,6.6,396.97777777777776,217.11111111111111,288.11111111111114,92.9111111111111,10
27,Ausar Thompson,Detroit Pistons,F,103,314,42,87,508.0,11,25,325.0,8,29,195.3,15,44,59,21,26,17,14,11,-6,183,162,124,80,121.7,31.399999999999995,24.125,8.5,347.72499999999997,237.7,200.02499999999998,87.225,10
28,Austin Reaves,Los Angeles Lakers,SG,168,356,64,124,525.7,12,15,600.0,28,63,411.2,4,46,50,56,13,6,23,1,-16,274,218,224,106,233.83264746227704,37.27297668038408,95.0342935528121,33.62688614540466,355.5692729766804,252.5679012345679,385.68449931412897,83.45679012345678,10
29,Ayo Dosunmu,Chicago Bulls,SG,161,383,61,133,437.5,18,21,541.6,21,59,339.4,8,28,36,56,22,7,20,7,-55,253,197,217,92,589.0,30.540466392318248,43.99725651577503,13.153635116598078,647.4444444444445,548.5775034293553,691.2935528120713,71.1111111111111,10
30,Bam Adebayo,Miami Heat,C,178,341,72,143,489.8,32,52,611.9,2,5,200.0,24,74,98,32,21,13,18,10,-5,308,276,210,130,372.0,73.2,27.856,1.6159999999999997,450.736,376.0,444.01599999999996,103.776,10
31,Ben Sheppard,Indiana Pacers,G,72,185,26,53,472.5,4,4,200.0,16,38,384.6,2,18,20,8,20,6,1,1,48,100,92,80,28,241.40828402366867,42.05917159763313,15.715976331360945,34.476331360946745,413.13609467455615,330.3786982248521,336.0,45.94082840236687,10
32,Ben Simmons,Brooklyn Nets,PG,53,168,24,38,521.1,5,11,150.0,0,0,0.0,15,39,54,46,20,9,12,4,-5,153,107,99,100,134.88888888888889,64.0,78.88888888888889,0.0,382.0,162.8888888888889,300.0,196.88888888888889,9
33,Bennedict Mathurin,Indiana Pacers,SG,139,275,44,115,340.3,35,45,614.5,16,44,245.0,10,33,43,23,24,7,17,4,-18,205,182,162,66,753.4765625,123.6015625,38.125,30.4140625,1418.90625,1097.65625,970.9140625,265.5390625,10
34,Bilal Coulibaly,Washington Wizards,SG,90,289,30,76,451.5,19,27,633.3,11,39,238.3,9,30,39,18,22,12,8,7,-98,147,129,108,57,122.3429355281207,36.93964334705075,16.0,12.939643347050755,322.10836762688615,279.5157750342936,159.08367626886144,58.7914951989026,10
35,Bismack Biyombo,Oklahoma City Thunder,C,4,31,1,4,33.3,2,2,100.0,0,0,0.0,3,2,5,2,6,0,2,1,4,11,9,6,7,4.16,2.7600000000000002,1.04,0.0,21.240000000000002,13.0,9.36,6.84,4
36,Blake Wesley,San Antonio Spurs,G,45,147,16,33,365.4,12,14,450.0,1,6,100.0,2,14,16,33,13,3,5,3,-37,94,61,78,49,170.13305898491083,20.40877914951989,58.308641975308646,0.972565157750343,293.75308641975306,205.12345679012344,216.27709190672152,121.20301783264746,10
37,Boban Marjanovic,Houston Rockets,C,3,7,1,1,100.0,1,2,50.0,0,0,0.0,0,3,3,0,0,0,1,0,-3,6,6,3,3,1.44,2.5600000000000005,0.0,0.0,7.839999999999999,7.839999999999999,1.44,2.5600000000000005,1
38,Bobby Portis,Milwaukee Bucks,F,167,244,69,128,537.1,16,20,605.0,13,31,336.7,15,68,83,15,18,8,13,1,27,265,250,182,98,538.8111111111111,108.09999999999998,12.677777777777777,22.144444444444446,1006.8999999999999,932.0444444444444,586.0,148.44444444444449,10
39,Bogdan Bogdanovic,Atlanta Hawks,SG,151,334,52,138,363.5,18,19,750.0,29,81,355.4,8,30,38,43,18,15,21,6,61,232,189,194,81,357.65625,41.85069444444444,42.56944444444444,25.100694444444443,391.77777777777777,327.5694444444444,437.35069444444446,68.93402777777777,10
40,Bojan Bogdanovic,New York Knicks,SF,106,220,36,98,311.4,18,19,550.0,16,54,233.89999999999998,6,20,26,13,19,1,20,0,-44,145,132,119,39,562.9413988657845,32.83553875236295,22.122873345935727,24.77126654064272,849.2003780718337,697.4744801512287,694.4669187145557,75.15879017013232,10
41,Bol Bol,Phoenix Suns,C,55,121,24,44,532.1,2,3,150.0,5,16,270.0,9,27,36,1,10,1,2,4,-36,92,91,56,37,192.02947845804988,39.64172335600907,1.0907029478458048,4.505668934240363,349.1111111111111,350.55102040816325,188.81632653061226,42.50566893424036,10
