,id,date,home_team,away_team
0,13609,2024-03-29T00:00:00.000Z,New Orleans Pelicans,Milwaukee Bucks
1,13610,2024-03-29T23:00:00.000Z,Charlotte Hornets,Golden State Warriors
2,13611,2024-03-29T23:00:00.000Z,Indiana Pacers,Los Angeles Lakers
3,13612,2024-03-29T23:00:00.000Z,Orlando Magic,LA Clippers
4,13613,2024-03-29T23:00:00.000Z,Washington Wizards,Detroit Pistons
5,13614,2024-03-29T23:30:00.000Z,Brooklyn Nets,Chicago Bulls
6,13615,2024-03-29T23:30:00.000Z,Cleveland Cavaliers,Philadelphia 76ers
7,13602,2024-03-28T00:00:00.000Z,Chicago Bulls,Indiana Pacers
8,13603,2024-03-28T00:00:00.000Z,Memphis Grizzlies,Los Angeles Lakers
9,13604,2024-03-28T00:00:00.000Z,Minnesota Timberwolves,Detroit Pistons
10,13605,2024-03-28T00:00:00.000Z,Oklahoma City Thunder,Houston Rockets
11,13606,2024-03-28T01:00:00.000Z,Utah Jazz,San Antonio Spurs
12,13607,2024-03-28T02:00:00.000Z,Denver Nuggets,Phoenix Suns
13,13608,2024-03-28T23:30:00.000Z,Atlanta Hawks,Boston Celtics
14,13594,2024-03-27T00:00:00.000Z,New Orleans Pelicans,Oklahoma City Thunder
15,13595,2024-03-27T02:00:00.000Z,Sacramento Kings,Dallas Mavericks
16,13596,2024-03-27T23:00:00.000Z,Charlotte Hornets,Cleveland Cavaliers
17,13597,2024-03-27T23:00:00.000Z,Orlando Magic,Golden State Warriors
18,13598,2024-03-27T23:00:00.000Z,Washington Wizards,Brooklyn Nets
19,13599,2024-03-27T23:30:00.000Z,Atlanta Hawks,Portland Trail Blazers
20,13600,2024-03-27T23:30:00.000Z,Philadelphia 76ers,LA Clippers
21,13601,2024-03-27T23:30:00.000Z,Toronto Raptors,New York Knicks
22,13585,2024-03-26T00:00:00.000Z,Chicago Bulls,Washington Wizards
23,13586,2024-03-26T00:00:00.000Z,Houston Rockets,Portland Trail Blazers
24,13587,2024-03-26T00:00:00.000Z,San Antonio Spurs,Phoenix Suns
25,13588,2024-03-26T01:00:00.000Z,Denver Nuggets,Memphis Grizzlies
26,13589,2024-03-26T01:00:00.000Z,Utah Jazz,Dallas Mavericks
27,13590,2024-03-26T02:00:00.000Z,Sacramento Kings,Philadelphia 76ers
28,13591,2024-03-26T02:30:00.000Z,LA Clippers,Indiana Pacers
29,13592,2024-03-26T23:30:00.000Z,Miami Heat,Golden State Warriors
30,13593,2024-03-26T23:30:00.000Z,Milwaukee Bucks,Los Angeles Lakers
31,13580,2024-03-25T02:00:00.000Z,Los Angeles Lakers,Indiana Pacers
32,13581,2024-03-25T23:00:00.000Z,Cleveland Cavaliers,Charlotte Hornets
33,13582,2024-03-25T23:30:00.000Z,Atlanta Hawks,Boston Celtics
34,13583,2024-03-25T23:30:00.000Z,New York Knicks,Detroit Pistons
35,13584,2024-03-25T23:30:00.000Z,Toronto Raptors,Brooklyn Nets
