,id,date,home_team,away_team
0,14012,2024-05-16T01:30:00.000Z,Oklahoma City Thunder,Dallas Mavericks
1,14000,2024-05-15T02:30:00.000Z,Denver Nuggets,Minnesota Timberwolves
2,14011,2024-05-15T00:00:00.000Z,New York Knicks,Indiana Pacers
3,14021,2024-05-15T23:00:00.000Z,Boston Celtics,Cleveland Cavaliers
4,14010,2024-05-14T01:30:00.000Z,Dallas Mavericks,Oklahoma City Thunder
5,13999,2024-05-13T00:00:00.000Z,Minnesota Timberwolves,Denver Nuggets
6,14020,2024-05-13T23:00:00.000Z,Cleveland Cavaliers,Boston Celtics
7,14006,2024-05-12T19:30:00.000Z,Indiana Pacers,New York Knicks
8,14019,2024-05-12T00:30:00.000Z,Cleveland Cavaliers,Boston Celtics
