,id,date,home_team,away_team
0,13542,2024-03-20T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks
1,13543,2024-03-20T01:00:00.000Z,Minnesota Timberwolves,Denver Nuggets
2,13544,2024-03-20T23:00:00.000Z,Cleveland Cavaliers,Miami Heat
3,13545,2024-03-20T23:00:00.000Z,Detroit Pistons,Indiana Pacers
4,13546,2024-03-20T23:30:00.000Z,Boston Celtics,Milwaukee Bucks
5,13547,2024-03-20T23:30:00.000Z,Toronto Raptors,Sacramento Kings
6,13534,2024-03-19T00:00:00.000Z,Chicago Bulls,Portland Trail Blazers
7,13535,2024-03-19T01:00:00.000Z,Utah Jazz,Minnesota Timberwolves
8,13536,2024-03-19T02:00:00.000Z,Golden State Warriors,New York Knicks
9,13537,2024-03-19T02:00:00.000Z,Sacramento Kings,Memphis Grizzlies
10,13538,2024-03-19T02:30:00.000Z,Los Angeles Lakers,Atlanta Hawks
11,13539,2024-03-19T23:00:00.000Z,Orlando Magic,Charlotte Hornets
12,13540,2024-03-19T23:00:00.000Z,Washington Wizards,Houston Rockets
13,13541,2024-03-19T23:30:00.000Z,Brooklyn Nets,New Orleans Pelicans
14,13530,2024-03-18T01:30:00.000Z,LA Clippers,Atlanta Hawks
15,13531,2024-03-18T23:00:00.000Z,Indiana Pacers,Cleveland Cavaliers
16,13532,2024-03-18T23:30:00.000Z,Boston Celtics,Detroit Pistons
17,13533,2024-03-18T23:30:00.000Z,Philadelphia 76ers,Miami Heat
18,13519,2024-03-17T00:00:00.000Z,Chicago Bulls,Washington Wizards
19,13520,2024-03-17T00:00:00.000Z,Memphis Grizzlies,Oklahoma City Thunder
20,13521,2024-03-17T00:30:00.000Z,Los Angeles Lakers,Golden State Warriors
21,13522,2024-03-17T01:30:00.000Z,Utah Jazz,Minnesota Timberwolves
22,13523,2024-03-17T02:00:00.000Z,Sacramento Kings,New York Knicks
23,13524,2024-03-17T17:00:00.000Z,Milwaukee Bucks,Phoenix Suns
24,13525,2024-03-17T19:00:00.000Z,Detroit Pistons,Miami Heat
25,13526,2024-03-17T19:30:00.000Z,Dallas Mavericks,Denver Nuggets
26,13527,2024-03-17T22:00:00.000Z,Orlando Magic,Toronto Raptors
27,13528,2024-03-17T22:00:00.000Z,Washington Wizards,Boston Celtics
28,13529,2024-03-17T23:00:00.000Z,San Antonio Spurs,Brooklyn Nets
29,13512,2024-03-16T00:00:00.000Z,New Orleans Pelicans,LA Clippers
30,13513,2024-03-16T00:30:00.000Z,San Antonio Spurs,Denver Nuggets
31,13514,2024-03-16T01:30:00.000Z,Utah Jazz,Atlanta Hawks
32,13515,2024-03-16T21:00:00.000Z,Houston Rockets,Cleveland Cavaliers
33,13516,2024-03-16T23:00:00.000Z,Indiana Pacers,Brooklyn Nets
34,13517,2024-03-16T23:00:00.000Z,Philadelphia 76ers,Charlotte Hornets
35,13518,2024-03-16T23:00:00.000Z,New Orleans Pelicans,Portland Trail Blazers
