,id,date,home_team,away_team
0,13639,2024-04-02T00:00:00.000Z,Chicago Bulls,Atlanta Hawks
1,13640,2024-04-02T00:00:00.000Z,New Orleans Pelicans,Phoenix Suns
2,13641,2024-04-02T23:00:00.000Z,Philadelphia 76ers,Oklahoma City Thunder
3,13642,2024-04-02T23:00:00.000Z,Toronto Raptors,Los Angeles Lakers
4,13643,2024-04-02T23:00:00.000Z,Washington Wizards,Milwaukee Bucks
5,13644,2024-04-02T23:30:00.000Z,Miami Heat,New York Knicks
6,13645,2024-04-02T23:30:00.000Z,Dallas Mavericks,Golden State Warriors
7,13634,2024-04-01T01:00:00.000Z,Sacramento Kings,Utah Jazz
8,13635,2024-04-01T23:00:00.000Z,Charlotte Hornets,Boston Celtics
9,13636,2024-04-01T23:00:00.000Z,Detroit Pistons,Memphis Grizzlies
10,13637,2024-04-01T23:00:00.000Z,Indiana Pacers,Brooklyn Nets
11,13638,2024-04-01T23:00:00.000Z,Orlando Magic,Portland Trail Blazers
12,13625,2024-03-31T19:30:00.000Z,Denver Nuggets,Cleveland Cavaliers
13,13626,2024-03-31T22:00:00.000Z,Brooklyn Nets,Los Angeles Lakers
14,13627,2024-03-31T22:00:00.000Z,Charlotte Hornets,LA Clippers
15,13628,2024-03-31T22:00:00.000Z,Toronto Raptors,Philadelphia 76ers
16,13629,2024-03-31T22:00:00.000Z,Washington Wizards,Miami Heat
17,13630,2024-03-31T23:00:00.000Z,New York Knicks,Oklahoma City Thunder
18,13631,2024-03-31T23:00:00.000Z,Houston Rockets,Dallas Mavericks
19,13632,2024-03-31T23:00:00.000Z,Minnesota Timberwolves,Chicago Bulls
20,13633,2024-03-31T23:00:00.000Z,San Antonio Spurs,Golden State Warriors
21,13616,2024-03-30T00:00:00.000Z,Miami Heat,Portland Trail Blazers
22,13617,2024-03-30T00:00:00.000Z,Oklahoma City Thunder,Phoenix Suns
23,13618,2024-03-30T00:00:00.000Z,San Antonio Spurs,New York Knicks
24,13619,2024-03-30T01:00:00.000Z,Denver Nuggets,Minnesota Timberwolves
25,13620,2024-03-30T01:30:00.000Z,Utah Jazz,Houston Rockets
26,13621,2024-03-30T02:00:00.000Z,Sacramento Kings,Dallas Mavericks
27,13622,2024-03-30T21:00:00.000Z,New Orleans Pelicans,Boston Celtics
28,13623,2024-03-30T23:00:00.000Z,Orlando Magic,Memphis Grizzlies
29,13624,2024-03-30T23:30:00.000Z,Atlanta Hawks,Milwaukee Bucks
30,13609,2024-03-29T00:00:00.000Z,New Orleans Pelicans,Milwaukee Bucks
31,13610,2024-03-29T23:00:00.000Z,Charlotte Hornets,Golden State Warriors
32,13611,2024-03-29T23:00:00.000Z,Indiana Pacers,Los Angeles Lakers
33,13612,2024-03-29T23:00:00.000Z,Orlando Magic,LA Clippers
34,13613,2024-03-29T23:00:00.000Z,Washington Wizards,Detroit Pistons
35,13614,2024-03-29T23:30:00.000Z,Brooklyn Nets,Chicago Bulls
36,13615,2024-03-29T23:30:00.000Z,Cleveland Cavaliers,Philadelphia 76ers
