,id,date,home_team,away_team
0,13946,2024-04-22T23:00:00.000Z,Cleveland Cavaliers,Orlando Magic
1,13947,2024-04-22T23:30:00.000Z,New York Knicks,Philadelphia 76ers
2,13983,2024-04-22T01:30:00.000Z,Oklahoma City Thunder,New Orleans Pelicans
3,13940,2024-04-21T23:00:00.000Z,Milwaukee Bucks,Indiana Pacers
4,13941,2024-04-21T19:30:00.000Z,LA Clippers,Dallas Mavericks
5,13945,2024-04-21T00:30:00.000Z,Denver Nuggets,Los Angeles Lakers
6,13982,2024-04-21T17:00:00.000Z,Boston Celtics,Miami Heat
7,13938,2024-04-20T17:00:00.000Z,Cleveland Cavaliers,Orlando Magic
8,13939,2024-04-20T19:30:00.000Z,Minnesota Timberwolves,Phoenix Suns
9,13943,2024-04-20T01:30:00.000Z,New Orleans Pelicans,Sacramento Kings
10,13944,2024-04-20T22:00:00.000Z,New York Knicks,Philadelphia 76ers
11,13942,2024-04-19T23:00:00.000Z,Miami Heat,Chicago Bulls
12,13934,2024-04-18T01:48:00.000Z,Chicago Bulls,Atlanta Hawks
