,id,date,home_team,away_team
0,13948,2024-04-23T02:00:00.000Z,Denver Nuggets,Los Angeles Lakers
1,13949,2024-04-23T23:30:00.000Z,Minnesota Timberwolves,Phoenix Suns
2,13946,2024-04-22T23:00:00.000Z,Cleveland Cavaliers,Orlando Magic
3,13947,2024-04-22T23:30:00.000Z,New York Knicks,Philadelphia 76ers
4,13983,2024-04-22T01:30:00.000Z,Oklahoma City Thunder,New Orleans Pelicans
5,13940,2024-04-21T23:00:00.000Z,Milwaukee Bucks,Indiana Pacers
6,13941,2024-04-21T19:30:00.000Z,LA Clippers,Dallas Mavericks
7,13945,2024-04-21T00:30:00.000Z,Denver Nuggets,Los Angeles Lakers
8,13982,2024-04-21T17:00:00.000Z,Boston Celtics,Miami Heat
9,13938,2024-04-20T17:00:00.000Z,Cleveland Cavaliers,Orlando Magic
10,13939,2024-04-20T19:30:00.000Z,Minnesota Timberwolves,Phoenix Suns
11,13943,2024-04-20T01:30:00.000Z,New Orleans Pelicans,Sacramento Kings
12,13944,2024-04-20T22:00:00.000Z,New York Knicks,Philadelphia 76ers
13,13942,2024-04-19T23:00:00.000Z,Miami Heat,Chicago Bulls
