,id,date,home_team,away_team
0,13656,2024-04-04T00:00:00.000Z,Minnesota Timberwolves,Toronto Raptors
1,13657,2024-04-04T00:00:00.000Z,New Orleans Pelicans,Orlando Magic
2,13658,2024-04-04T02:00:00.000Z,Phoenix Suns,Cleveland Cavaliers
3,13659,2024-04-04T23:30:00.000Z,Miami Heat,Philadelphia 76ers
4,13660,2024-04-04T23:30:00.000Z,New York Knicks,Sacramento Kings
5,13646,2024-04-03T00:00:00.000Z,Minnesota Timberwolves,Houston Rockets
6,13647,2024-04-03T01:00:00.000Z,Denver Nuggets,San Antonio Spurs
7,13648,2024-04-03T01:00:00.000Z,Utah Jazz,Cleveland Cavaliers
8,13649,2024-04-03T02:00:00.000Z,Sacramento Kings,LA Clippers
9,13650,2024-04-03T23:00:00.000Z,Charlotte Hornets,Portland Trail Blazers
10,13651,2024-04-03T23:00:00.000Z,Washington Wizards,Los Angeles Lakers
11,13652,2024-04-03T23:30:00.000Z,Atlanta Hawks,Detroit Pistons
12,13653,2024-04-03T23:30:00.000Z,Boston Celtics,Oklahoma City Thunder
13,13654,2024-04-03T23:30:00.000Z,Brooklyn Nets,Indiana Pacers
14,13655,2024-04-03T23:30:00.000Z,Milwaukee Bucks,Memphis Grizzlies
15,13933,2024-04-03T02:00:00.000Z,Golden State Warriors,Dallas Mavericks
16,13639,2024-04-02T00:00:00.000Z,Chicago Bulls,Atlanta Hawks
17,13640,2024-04-02T00:00:00.000Z,New Orleans Pelicans,Phoenix Suns
18,13641,2024-04-02T23:00:00.000Z,Philadelphia 76ers,Oklahoma City Thunder
19,13642,2024-04-02T23:00:00.000Z,Toronto Raptors,Los Angeles Lakers
20,13643,2024-04-02T23:00:00.000Z,Washington Wizards,Milwaukee Bucks
21,13644,2024-04-02T23:30:00.000Z,Miami Heat,New York Knicks
22,13645,2024-04-02T23:30:00.000Z,Dallas Mavericks,Golden State Warriors
23,13634,2024-04-01T01:00:00.000Z,Sacramento Kings,Utah Jazz
24,13635,2024-04-01T23:00:00.000Z,Charlotte Hornets,Boston Celtics
25,13636,2024-04-01T23:00:00.000Z,Detroit Pistons,Memphis Grizzlies
26,13637,2024-04-01T23:00:00.000Z,Indiana Pacers,Brooklyn Nets
27,13638,2024-04-01T23:00:00.000Z,Orlando Magic,Portland Trail Blazers
28,13625,2024-03-31T19:30:00.000Z,Denver Nuggets,Cleveland Cavaliers
29,13626,2024-03-31T22:00:00.000Z,Brooklyn Nets,Los Angeles Lakers
30,13627,2024-03-31T22:00:00.000Z,Charlotte Hornets,LA Clippers
31,13628,2024-03-31T22:00:00.000Z,Toronto Raptors,Philadelphia 76ers
32,13629,2024-03-31T22:00:00.000Z,Washington Wizards,Miami Heat
33,13630,2024-03-31T23:00:00.000Z,New York Knicks,Oklahoma City Thunder
34,13631,2024-03-31T23:00:00.000Z,Houston Rockets,Dallas Mavericks
35,13632,2024-03-31T23:00:00.000Z,Minnesota Timberwolves,Chicago Bulls
36,13633,2024-03-31T23:00:00.000Z,San Antonio Spurs,Golden State Warriors
