,id,date,home_team,away_team
0,13934,2024-04-18T01:48:00.000Z,Chicago Bulls,Atlanta Hawks
1,13936,2024-04-17T02:00:00.000Z,Sacramento Kings,Golden State Warriors
2,13937,2024-04-17T23:00:00.000Z,Philadelphia 76ers,Miami Heat
3,13935,2024-04-16T23:30:00.000Z,New Orleans Pelicans,Los Angeles Lakers
4,13734,2024-04-14T17:00:00.000Z,Boston Celtics,Washington Wizards
5,13735,2024-04-14T17:00:00.000Z,Cleveland Cavaliers,Charlotte Hornets
6,13736,2024-04-14T17:00:00.000Z,Indiana Pacers,Atlanta Hawks
7,13737,2024-04-14T17:00:00.000Z,Miami Heat,Toronto Raptors
8,13738,2024-04-14T17:00:00.000Z,New York Knicks,Chicago Bulls
9,13739,2024-04-14T17:00:00.000Z,Orlando Magic,Milwaukee Bucks
10,13740,2024-04-14T17:00:00.000Z,Philadelphia 76ers,Brooklyn Nets
11,13741,2024-04-14T19:30:00.000Z,Memphis Grizzlies,Denver Nuggets
12,13742,2024-04-14T19:30:00.000Z,Minnesota Timberwolves,Phoenix Suns
13,13743,2024-04-14T19:30:00.000Z,New Orleans Pelicans,Los Angeles Lakers
14,13744,2024-04-14T19:30:00.000Z,Oklahoma City Thunder,Dallas Mavericks
15,13745,2024-04-14T19:30:00.000Z,San Antonio Spurs,Detroit Pistons
16,13746,2024-04-14T19:30:00.000Z,Golden State Warriors,Utah Jazz
17,13747,2024-04-14T19:30:00.000Z,LA Clippers,Houston Rockets
18,13748,2024-04-14T19:30:00.000Z,Sacramento Kings,Portland Trail Blazers
