,id,date,home_team,away_team
0,13954,2024-04-26T02:00:00.000Z,Los Angeles Lakers,Denver Nuggets
1,13955,2024-04-26T21:30:00.000Z,Indiana Pacers,Milwaukee Bucks
2,13952,2024-04-25T23:00:00.000Z,Orlando Magic,Cleveland Cavaliers
3,13953,2024-04-25T23:30:00.000Z,Philadelphia 76ers,New York Knicks
4,13985,2024-04-25T01:30:00.000Z,Oklahoma City Thunder,New Orleans Pelicans
5,13950,2024-04-24T00:30:00.000Z,Milwaukee Bucks,Indiana Pacers
6,13951,2024-04-24T02:00:00.000Z,LA Clippers,Dallas Mavericks
7,13984,2024-04-24T23:00:00.000Z,Boston Celtics,Miami Heat
8,13948,2024-04-23T02:00:00.000Z,Denver Nuggets,Los Angeles Lakers
9,13949,2024-04-23T23:30:00.000Z,Minnesota Timberwolves,Phoenix Suns
10,13946,2024-04-22T23:00:00.000Z,Cleveland Cavaliers,Orlando Magic
11,13947,2024-04-22T23:30:00.000Z,New York Knicks,Philadelphia 76ers
12,13983,2024-04-22T01:30:00.000Z,Oklahoma City Thunder,New Orleans Pelicans
