,id,date,home_team,away_team
0,14010,2024-05-14T01:30:00.000Z,Dallas Mavericks,Oklahoma City Thunder
1,13999,2024-05-13T00:00:00.000Z,Minnesota Timberwolves,Denver Nuggets
2,14020,2024-05-13T23:00:00.000Z,Cleveland Cavaliers,Boston Celtics
3,14006,2024-05-12T19:30:00.000Z,Indiana Pacers,New York Knicks
4,14019,2024-05-12T00:30:00.000Z,Cleveland Cavaliers,Boston Celtics
5,13998,2024-05-11T01:30:00.000Z,Minnesota Timberwolves,Denver Nuggets
6,14009,2024-05-11T19:30:00.000Z,Dallas Mavericks,Oklahoma City Thunder
7,14005,2024-05-10T23:00:00.000Z,Indiana Pacers,New York Knicks
8,14008,2024-05-10T01:30:00.000Z,Oklahoma City Thunder,Dallas Mavericks
