,team name,points_eff,assists_eff,tpm_eff,totReb_eff,Points_Rebounds_Assist_eff,Points_Rebounds_eff,Points_Assist_eff,Rebounds_Assist_eff
0,76ers,1.0489593722253743,1.1210422432550107,1.1690447827054193,0.9621144854098237,1.0386379085572282,1.0245052671043662,1.0628510415279526,1.0222721722235448
1,Bucks,0.9404919569893447,0.8722479054277018,0.8276002720022654,1.0248857313176862,0.9507862573477144,0.9642558687711303,0.9273400974335192,0.9671089234754617
2,Bulls,1.017924265054026,0.9918121751129686,1.3062229032008827,1.0202785894685749,1.014667443290278,1.0185872044490027,1.0128919943761387,1.009503419273433
3,Cavaliers,1.080908076530077,1.1528317414047364,1.1135153690625088,0.9805928295351597,1.0673255573060723,1.052660937461731,1.0947690639352186,1.045789083845117
4,Celtics,1.019249850545743,0.9351648654152297,1.0658373365216347,1.097139814736152,1.0256618373523863,1.041182395362449,1.0030451573910395,1.0358286982576312
5,Clippers,0.9771599691479106,0.7949215388965691,0.9404239962649543,1.1008044323586144,0.9802002639057046,1.0119762353882824,0.9420393368657722,0.9850209622080488
6,Grizzlies,1.0682251594243661,1.0478089177209686,1.2510043785643865,0.9397957068538845,1.0343668767842624,1.0320615181444546,1.0642905814297061,0.9806811066052359
7,Hawks,1.037064422744885,1.0805341058675317,1.0146708967835363,0.908830607891538,1.0126058170788446,1.0009558698584975,1.045441814682831,0.9738241961489278
8,Heat,0.9300108672742157,0.9981163014508424,0.8263818986265808,0.9448689500478373,0.94355254318937,0.934194661293252,0.943136012759906,0.965024255406656
9,Hornets,1.0552380727397388,1.261273983057467,1.2354354393211708,0.9870082302544527,1.06900114753163,1.0360256607981038,1.0949449086316227,1.0908239103128425
10,Jazz,0.9949448318487137,1.1762645606242639,1.0608194948361365,0.9220655992930928,1.0039720211167527,0.9744232274180609,1.0298884137871684,1.0182855530096102
11,Kings,1.116580772256951,1.1664878184805236,1.4073656425564562,1.0438626140115905,1.1064083669665095,1.096104523727605,1.1261987601659138,1.0902789779364908
12,Knicks,0.9786923189763016,1.1549447986920043,0.9864560524044148,0.8408668833571644,0.9713671523087637,0.9398829219632399,1.012659350630234,0.9597523513332793
13,Lakers,1.0346542214573669,1.0706893894033542,1.0418693157565295,0.9469177691045404,1.0188412153842077,1.0099490660077757,1.0415988482351033,0.9937680768878786
14,Magic,0.9006481637933492,0.9074680770630301,0.7937379653397398,1.0207490534990145,0.9305141351530484,0.93446661747188,0.9019624840813927,0.9778696874600954
15,Mavericks,0.9322242365624901,1.0100484822407072,0.9685307143506583,0.985673255349662,0.9564644625666453,0.9472746093819316,0.9472223723087747,0.9948998202065907
16,Nets,0.98025749117646,0.902998554967816,0.8536878900450592,0.9935988136089489,0.972153813267401,0.984014190196752,0.9653683007606366,0.9593046030917113
17,Nuggets,0.9884435339707753,1.0978648174984955,1.0113798430059502,1.0722669983918232,1.0246102748048382,1.0120468557750055,1.0095309887810284,1.0819563415614004
18,Pacers,1.017385369689647,1.008478160613472,0.752690130088439,1.1511157937344119,1.0482249585561274,1.0550416781653937,1.0156687898541368,1.0971242810025796
19,Pelicans,0.9831885967641534,0.9533936534041337,1.0967506581537962,1.0931858924582745,1.0052657848329867,1.0141620429918363,0.977446573810097,1.0402714245891709
20,Pistons,0.9463865084302492,0.9969506382093438,0.8430061456281828,1.0524985517922698,0.9792940923783533,0.9762659309055306,0.956131128191233,1.0314724325429665
21,Raptors,1.1430764886837466,1.1400631060246504,1.2694276910671196,1.0851094939086154,1.1287023399182394,1.1267539274396898,1.1424957554972857,1.1059106568507078
22,Rockets,0.9536532702962223,0.8157623716007659,0.8113702430595393,1.0427552120579764,0.9548832000439705,0.9787429253147802,0.927079207177606,0.956833379457257
23,Spurs,0.9556742946468278,0.8522821843403002,0.8409339048064448,0.8744966770603606,0.9210261597713324,0.932816000201138,0.9357487702558323,0.8660879980863524
24,Suns,0.9980277246203704,0.9582303360711595,0.9187846481876332,0.9742812360053739,0.9864938119916616,0.9913411003395503,0.9903580500786258,0.9682056138207242
25,Thunder,1.0303847894486926,0.9556309393147735,1.0659225693291217,1.0266314632182545,1.018538960729343,1.0293279139369829,1.0159783743001067,0.9997561876936581
26,Timberwolves,0.9060514150932063,0.8033174916889567,0.7664016683981645,0.999822734497481,0.9135505265838201,0.9324558907754426,0.886252735189051,0.9254411348675118
27,Trail Blazers,1.0403667699947072,0.9518356438730539,1.153810792169642,0.906248669681602,0.9951694019519205,1.0026012981983952,1.0233052252823547,0.9235043520959099
28,Warriors,0.9309382149890781,0.9991115595751159,0.9754786723133658,1.021287311865739,0.9626349235755121,0.9563790485674851,0.9440764480354642,1.0128932970048647
29,Wizards,0.9937808978542035,0.8629922547250248,0.6771021061076844,1.0038498319578217,0.977054122722329,0.9966161456397103,0.9685755674763872,0.9505321099223519
