,team name,points_eff,assists_eff,tpm_eff,totReb_eff,Points_Rebounds_Assist_eff,Points_Rebounds_eff,Points_Assist_eff,Rebounds_Assist_eff
0,76ers,1.0302877994269948,0.9494581465004055,1.0330066116352545,1.0758625098956156,1.029187289427468,1.0429666094463572,1.014672914610755,1.0274260790731877
1,Bucks,0.9680333217310777,0.9441365737155808,1.0655775539770704,1.0148689113617142,0.9756214762962904,0.9810629062740341,0.963416885135914,0.9877652427281094
2,Bulls,1.0015433508359513,1.0021518312462812,1.2120842566503895,0.9925062122966153,0.9994893767271075,0.9990292336538401,1.0016608986810331,0.9962022821350771
3,Cavaliers,0.9426501073926599,0.9569432390613014,0.9821890296899047,1.0352661708462645,0.9667251671952218,0.9684157449841037,0.9454112921384594,1.0052538898987238
4,Celtics,0.9535198359044922,0.8849615211372317,0.8345060577819199,0.9737439702353325,0.9482143781830097,0.9591461570451022,0.9402755604495603,0.9397237446791882
5,Clippers,1.0233415505876484,1.054709229006592,1.0461188217447417,0.9706095808819626,1.0154556644717296,1.0086716027378315,1.0294012411557805,1.0028354208701216
6,Grizzlies,1.0003452731683664,0.981027869876131,1.006849700149925,1.03065142187051,1.0046873975317585,1.0087763942410408,0.9966134864238276,1.0116363524632621
7,Hawks,1.0107036697370433,1.0460148694199,1.1923580873622401,1.0000796596152852,1.0133870448238003,1.0077480874723945,1.017525180108637,1.0176814065190574
8,Heat,0.9503085218702562,0.9639869343416595,0.9156016003507808,1.0175987251377967,0.9682856192447562,0.969028546520349,0.95295095354572,0.9970554169290077
9,Hornets,1.0282804143616866,1.0430738772458936,1.0707416193479067,1.077616890409306,1.0421631409217653,1.0420057414213786,1.0311382544068493,1.064380478132487
10,Jazz,1.0806107668812615,1.1630233123053058,1.168117019691809,0.9042749225552317,1.0509275560816038,1.031554422982973,1.096531439030854,1.0034237821666632
11,Kings,1.0612962994182888,1.1599972968207661,1.015681715063521,0.9531672143570734,1.0501922091047697,1.0312149645516075,1.0803636175359035,1.0324216855807253
12,Knicks,1.008042091311392,1.0063205246270273,1.1583125348839522,1.0158879543205368,1.0096494675591807,1.0102247975866054,1.0077095145341015,1.0122218455403418
13,Lakers,1.0368770560351,1.1025637018741612,1.0761825670729928,0.9891240060299419,1.0352293972540547,1.0235922355143556,1.0495665749381888,1.032592552784903
14,Magic,0.9490853487903024,0.9977190835041562,0.9562317788148355,0.8624603467212011,0.9357042330344957,0.9249864146913744,0.9584805414979848,0.9142896528570431
15,Mavericks,1.0336568708757783,1.053018765053055,1.0439134920694402,1.0475750664644947,1.0398114636967664,1.0375288901572428,1.0373972524864354,1.0496610176375452
16,Nets,0.9952294697318522,0.9215653052924156,0.8986923327331805,1.0884736829619488,1.0064922235001759,1.0211698575652166,0.9809988328163254,1.0245166654071234
17,Nuggets,0.9603505001361603,0.9551396840145834,0.7540840164590201,0.9457488626665496,0.9561190823196655,0.956288348439634,0.9593438609809615,0.9493472975336094
18,Pacers,1.0417086606632062,0.9572134227921373,0.9120646179071848,0.9881105304734887,1.0165438669637255,1.0267977483813526,1.0253856485122597,0.9762711795316084
19,Pelicans,0.9241880176885517,0.9417822262365148,0.9397562836130744,0.9973802971704402,0.9441421351669539,0.9445499903021547,0.9275869131429075,0.9760758734597509
20,Pistons,1.0162608729567317,0.9690159964794556,0.9357476174097363,0.8818775304748896,0.9774227377011917,0.9788756465543104,1.007133983533859,0.9152678040954803
21,Raptors,1.0705069908107256,1.073162864968328,1.1754725092959373,1.1030230761629827,1.0786112811745823,1.0795529126501742,1.0710200595615595,1.0915810498355292
22,Rockets,0.9937413685876619,0.9294965148975536,0.9650832222376984,1.0563946020101536,0.9991358614108841,1.0111713958000013,0.9813303788817144,1.007768982982189
23,Spurs,1.0112939301464186,0.9779877430866752,0.8267651103204255,0.9391594455944003,0.9892754226099453,0.9912262343547058,1.0048597533836114,0.9540379204739194
24,Suns,0.9730354394871815,0.9142723848494144,1.016145284992806,1.008496841823804,0.972787732651885,0.9829007437013637,0.961683438131287,0.9723913129525295
25,Thunder,0.9594762259182363,0.946895323554687,0.9718760330783934,1.0512359299105447,0.9793880217899124,0.9850036257061612,0.9570458141302556,1.011254030346489
26,Timberwolves,0.9476597351972842,0.9444457526165138,0.885978350493668,1.006789317694332,0.9612118586726963,0.9641094884770218,0.9470388495942528,0.9829001124801576
27,Trail Blazers,0.9734262163376611,0.9838135520215496,0.9763567785239369,0.928004459567334,0.9641826931927234,0.9607899577873587,0.9754328691485898,0.9493897438511479
28,Warriors,0.9924718389190837,1.0688613014025707,1.0751156484819782,0.9926451888235418,1.003769638144001,0.9925200645793875,1.0072289560743122,1.0218501653396326
29,Wizards,1.0540621436296111,1.09881501244107,0.9056865726276446,1.0510221870260748,1.0599357969186405,1.0532164326673905,1.062707620461262,1.0693357469368516
