,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
284,Kevon Looney,Golden State Warriors,F,21,97,8,18,483.3,5,8,175.0,0,0,0.0,7,22,29,13,12,1,5,4,38,63,50,34,42,26.5,19.4,6.125,0.0,19.325000000000006,32.10000000000001,15.625,23.625000000000004,10
285,Keyontae Johnson,Oklahoma City Thunder,F,5,29,2,6,66.7,0,0,0.0,1,2,100.0,1,4,5,0,3,0,1,0,-7,10,10,5,5,16.6875,4.75,0.0,0.6875,24.6875,24.6875,16.6875,4.75,3
286,Keyonte George,Utah Jazz,G,149,308,54,131,362.3,13,16,291.7,28,71,320.3,0,23,23,54,13,8,25,1,-45,226,172,203,77,1007.1640625,24.125,52.2265625,73.7265625,1348.65625,1147.3515625,1198.65625,86.1640625,10
287,Khris Middleton,Milwaukee Bucks,SF,54,110,22,41,229.2,3,4,150.0,7,16,218.3,1,15,16,20,14,2,8,2,32,90,70,74,36,113.0,22.0,38.0,2.75,237.0,125.0,251.0,34.0,4
288,Killian Hayes,Detroit Pistons,PG,10,42,4,9,92.9,0,0,0.0,2,4,50.0,0,7,7,12,2,0,2,0,-10,29,17,22,19,18.0,0.5,18.0,2.0,84.5,24.5,72.0,24.5,2
289,Klay Thompson,Golden State Warriors,SG,170,253,61,134,444.7,10,11,466.7,38,88,408.7,2,31,33,20,14,7,12,0,-10,223,203,190,53,882.2675736961451,30.219954648526077,28.0,40.244897959183675,951.530612244898,971.530612244898,866.2675736961451,54.21995464852608,10
290,Kobe Brown,LA Clippers,G,2,27,1,5,100.0,0,0,0.0,0,2,0.0,4,5,9,2,4,0,3,0,-23,13,11,4,11,3.1836734693877546,5.448979591836735,1.183673469387755,0.08163265306122448,5.4489795918367365,2.224489795918368,2.0,11.040816326530612,4
291,Kobe Bufkin,Atlanta Hawks,G,27,81,11,31,158.4,1,2,50.0,4,14,115.0,1,10,11,14,6,3,4,1,21,52,38,41,25,72.63265306122449,3.9795918367346945,14.959183673469388,2.836734693877551,134.6326530612245,95.83673469387756,113.83673469387753,16.53061224489796,5
292,Kris Dunn,Utah Jazz,G,62,207,26,49,510.0,4,5,250.0,6,21,341.7,9,15,24,27,22,15,14,1,-41,113,86,89,51,146.5,21.11111111111111,21.419753086419746,5.234567901234568,212.32716049382714,169.6111111111111,184.2530864197531,47.49382716049383,10
293,Kris Murray,Portland Trail Blazers,F,78,286,30,74,407.6,11,19,450.0,7,35,336.7,20,34,54,24,22,11,11,2,-7,156,132,102,78,241.48788927335642,85.97923875432527,32.899653979238764,4.1280276816609,525.9031141868512,371.923875432526,310.7750865051903,203.57093425605535,10
294,Kristaps Porzingis,Boston Celtics,C,236,301,79,154,525.0,53,57,827.8,25,55,502.2,15,60,75,18,23,5,14,16,102,329,311,254,93,338.84444444444443,118.60000000000001,13.777777777777777,6.6,558.2444444444445,575.4444444444445,329.24444444444447,124.77777777777779,10
295,Kyle Anderson,Minnesota Timberwolves,SF,67,244,26,58,429.7,13,15,350.0,2,6,150.0,4,33,37,47,17,8,11,3,71,151,104,114,84,117.32500000000002,51.325,26.599999999999998,1.6249999999999998,227.79999999999998,210.8,168.62499999999997,43.625,10
296,Kyle Kuzma,Washington Wizards,SF,250,339,98,198,495.7,30,43,706.7,24,65,339.0,10,68,78,38,21,9,25,8,-119,366,328,288,116,272.3271604938272,85.73456790123457,75.61111111111111,38.71604938271605,575.6111111111112,514.4444444444446,363.0864197530864,131.7530864197531,10
297,Kyle Lowry,Philadelphia 76ers,PG,60,205,19,44,297.0,11,12,375.0,11,27,252.1,5,18,23,41,15,7,10,1,-20,124,83,101,64,146.4375,13.4375,33.0,11.75,367.75,213.75,263.9375,82.9375,7
298,Kyrie Irving,Dallas Mavericks,PG,270,365,105,206,511.0,27,29,766.7,33,79,410.7,8,46,54,35,16,8,16,6,-34,359,324,305,89,178.0,44.0,26.15625,18.2265625,375.65625,284.0,246.65625,93.15625,10
299,Lamar Stevens,Memphis Grizzlies,PF,116,205,46,93,512.2,18,24,416.6,6,14,475.0,12,37,49,8,17,6,9,9,-11,173,165,124,57,209.11111111111111,56.91111111111112,5.999999999999999,2.4444444444444446,352.2,284.6,273.2444444444444,66.37777777777778,10
