,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,14025,Timberwolves,105,23,10,30,40,8,10,3,18,49,-3,,,,,,,38,89,11,18,17,14025,2024-05-23
1,14025,Mavericks,108,21,11,37,48,5,13,8,6,25,3,,,,,,,43,87,16,17,15,14025,2024-05-23
2,14024,Celtics,133,30,13,30,43,11,15,5,15,45,5,,,,,,,47,99,24,30,15,14024,2024-05-22
3,14024,Pacers,128,38,10,34,44,8,22,4,13,35,-5,,,,,,,53,99,9,10,23,14024,2024-05-22
4,14002,Nuggets,90,18,11,33,44,3,10,7,8,33,-8,,,,,,,34,83,14,16,23,14002,2024-05-20
5,14002,Timberwolves,98,18,11,36,47,9,9,6,10,34,8,,,,,,,31,79,26,30,21,14002,2024-05-20
6,14014,Mavericks,117,25,14,33,47,5,18,4,16,34,1,,,,,,,42,82,17,24,23,14014,2024-05-19
7,14014,Thunder,116,25,7,24,31,10,10,5,15,41,-1,,,,,,,44,92,13,17,20,14014,2024-05-19
8,14015,Knicks,109,22,9,19,28,5,10,2,13,35,-21,,,,,,,36,85,24,27,17,14015,2024-05-19
9,14015,Pacers,130,33,7,26,33,7,14,9,13,24,21,,,,,,,53,79,11,16,22,14015,2024-05-19
