,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,14026,Celtics,126,28,13,27,40,9,12,2,15,37,16,,,,,,,47,88,17,20,16,14026,2024-05-24
1,14026,Pacers,110,23,12,25,37,5,16,2,11,29,-16,,,,,,,44,84,11,16,23,14026,2024-05-24
2,14025,Timberwolves,105,23,10,30,40,8,10,3,18,49,-3,,,,,,,38,89,11,18,17,14025,2024-05-23
3,14025,Mavericks,108,21,11,37,48,5,13,8,6,25,3,,,,,,,43,87,16,17,15,14025,2024-05-23
4,14024,Celtics,133,30,13,30,43,11,15,5,15,45,5,,,,,,,47,99,24,30,15,14024,2024-05-22
5,14024,Pacers,128,38,10,34,44,8,22,4,13,35,-5,,,,,,,53,99,9,10,23,14024,2024-05-22
6,14002,Nuggets,90,18,11,33,44,3,10,7,8,33,-8,,,,,,,34,83,14,16,23,14002,2024-05-20
7,14002,Timberwolves,98,18,11,36,47,9,9,6,10,34,8,,,,,,,31,79,26,30,21,14002,2024-05-20
