,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,13661,Rockets,110,23,12,17,29,11,12,1,12,40,-23,,,,,,,36,86,26,30,19,13661,2024-04-05
1,13661,Warriors,133,29,12,31,43,6,21,2,17,35,23,,,,,,,47,80,22,25,23,13661,2024-04-05
2,13662,Clippers,102,22,7,41,48,10,7,2,7,33,2,,,,,,,34,90,27,32,20,13662,2024-04-05
3,13662,Nuggets,100,27,6,45,51,3,14,4,11,35,-2,,,,,,,36,83,17,25,19,13662,2024-04-05
4,13656,Timberwolves,133,37,9,41,50,13,9,9,20,43,48,,,,,,,49,96,15,22,12,13656,2024-04-04
5,13656,Raptors,85,19,10,38,48,4,21,6,7,30,-48,,,,,,,33,90,12,14,15,13656,2024-04-04
6,13657,Pelicans,108,21,7,28,35,9,14,1,12,29,-9,,,,,,,36,76,24,28,26,13657,2024-04-04
7,13657,Magic,117,27,7,32,39,9,13,2,13,32,9,,,,,,,41,80,22,30,20,13657,2024-04-04
8,13658,Suns,122,32,8,35,43,11,16,2,18,33,21,,,,,,,44,87,16,17,17,13658,2024-04-04
9,13658,Cavaliers,101,28,7,30,37,9,15,4,7,26,-21,,,,,,,39,83,16,19,14,13658,2024-04-04
10,13659,Heat,105,24,16,35,51,8,17,4,13,43,-4,,,,,,,39,94,14,16,10,13659,2024-04-04
11,13659,76ers,109,28,8,33,41,11,11,7,14,40,4,,,,,,,43,92,9,11,15,13659,2024-04-04
12,13660,Knicks,120,34,9,30,39,9,13,2,12,28,11,,,,,,,44,80,20,29,20,13660,2024-04-04
13,13660,Kings,109,26,9,26,35,6,16,3,18,42,-11,,,,,,,42,86,7,12,23,13660,2024-04-04
14,13646,Timberwolves,113,29,6,33,39,12,18,5,11,26,7,,,,,,,41,77,20,22,17,13646,2024-04-03
15,13646,Rockets,106,23,12,25,37,10,15,0,14,48,-7,,,,,,,41,92,10,14,23,13646,2024-04-03
16,13647,Nuggets,110,28,11,41,52,5,8,10,11,34,5,,,,,,,43,98,13,16,15,13647,2024-04-03
17,13647,Spurs,105,33,15,44,59,4,8,12,13,44,-5,,,,,,,42,105,8,16,19,13647,2024-04-03
18,13648,Jazz,113,26,7,26,33,7,20,3,16,37,-16,,,,,,,41,85,15,18,22,13648,2024-04-03
