,game_id,team name,points,assists,offReb,defReb,totReb,steals,turnovers,blocks,tpm,tpa,plusMinus,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,fgm,fga,ftm,fta,pfouls,id,date
0,13433,Hornets,89,19,3,28,31,7,19,1,12,33,-12,,,,,,,33,72,11,11,19,13433,2024-03-06
1,13433,Magic,101,23,8,33,41,9,18,1,13,35,12,,,,,,,40,74,8,15,16,13433,2024-03-06
2,13434,Cavaliers,105,28,8,34,42,11,9,3,20,42,1,,,,,,,39,90,7,11,10,13434,2024-03-06
3,13434,Celtics,104,24,14,39,53,6,13,9,15,38,-1,,,,,,,39,93,11,12,13,13434,2024-03-06
4,13435,Nets,112,25,10,34,44,4,14,7,12,30,5,,,,,,,41,84,18,24,16,13435,2024-03-06
5,13435,76ers,107,25,8,30,38,6,12,2,12,28,-5,,,,,,,40,82,15,19,24,13435,2024-03-06
6,13436,Heat,118,27,8,34,42,7,9,5,14,31,8,,,,,,,42,85,20,23,14,13436,2024-03-06
7,13436,Pistons,110,26,10,32,42,5,11,3,12,42,-8,,,,,,,39,89,20,22,16,13436,2024-03-06
8,13437,Knicks,100,27,17,23,40,8,12,6,16,52,-16,,,,,,,38,99,8,11,18,13437,2024-03-06
9,13437,Hawks,116,26,13,38,51,6,16,5,10,31,16,,,,,,,44,87,18,23,13,13437,2024-03-06
10,13438,Raptors,98,21,11,34,45,6,12,7,13,44,-41,,,,,,,36,93,13,22,11,13438,2024-03-06
11,13438,Pelicans,139,38,17,45,62,9,11,5,24,49,41,,,,,,,53,105,9,11,19,13438,2024-03-06
12,13439,Rockets,114,23,16,35,51,15,7,5,9,34,13,,,,,,,49,105,7,11,15,13439,2024-03-06
13,13439,Spurs,101,24,12,38,50,1,19,10,12,36,-13,,,,,,,38,87,13,16,12,13439,2024-03-06
14,13440,Mavericks,120,23,9,32,41,5,9,6,13,39,-17,,,,,,,45,93,17,21,23,13440,2024-03-06
15,13440,Pacers,137,34,9,34,43,3,9,2,18,39,17,,,,,,,50,93,19,24,21,13440,2024-03-06
16,13441,Nuggets,107,25,10,41,51,6,15,6,15,40,-10,,,,,,,41,96,10,14,15,13441,2024-03-06
17,13441,Suns,117,32,11,41,52,9,10,7,15,34,10,,,,,,,42,96,18,22,19,13441,2024-03-06
