,team name,points_eff,assists_eff,tpm_eff,totReb_eff,Points_Rebounds_Assist_eff,Points_Rebounds_eff,Points_Assist_eff,Rebounds_Assist_eff
0,76ers,1.0306624498294208,0.960668950246752,1.0271757046024779,1.057896510239103,1.0267842023175457,1.038243824960288,1.0171065666060715,1.0205885252535138
1,Bucks,0.9614789505592513,0.9717722697762106,1.0808275929641766,1.0076555919121464,0.9739551734662095,0.9743335317386103,0.9634724933041879,0.9938865078830309
2,Bulls,1.0000606936545116,0.9961067202273506,1.1915826853692497,0.9883206493141731,0.9966912100425535,0.9967925184776113,0.9992949139411609,0.9913083064840991
3,Cavaliers,0.9534080854040687,0.9464814788744036,1.0229712215818765,1.0598477043704588,0.9776382414954902,0.9830385800138225,0.9520665855532241,1.0163470195953552
4,Celtics,0.944640879473515,0.9297876482950975,0.8053833828903316,0.9617504023711703,0.9465060372221553,0.9494038016909884,0.9417642028029017,0.9494857116881785
5,Clippers,1.033049785215213,1.0300074684921816,1.0675824846900384,0.9838140226669868,1.0209189117783346,1.019343610663301,1.0324605692098443,1.0015392888714925
6,Grizzlies,1.0040584125089471,0.9655312980843134,0.9662597673620512,1.0415670734051707,1.0072661905279716,1.0145000148492895,0.9965967329646045,1.0123907620356234
7,Hawks,1.0341708466399027,1.0563641553328358,1.1963273084297286,0.9956650152019806,1.028313599513111,1.0234516535241727,1.0384691015174972,1.0189563804158999
8,Heat,0.9523822039394927,0.9529649163626092,0.9417460260951265,1.0121830439195074,0.9666563583311114,0.9690294682184646,0.95249505987051,0.9894599701949248
9,Hornets,0.9955995494044526,1.02681475186383,0.99029400529788,1.1305801097649164,1.0322356358026104,1.0331752266289753,1.0016451056611837,1.0907634526884395
10,Jazz,1.0595869652278993,1.1279990462336036,1.1204520238898454,0.9215297693217049,1.0369382093188007,1.0211548190133592,1.0728365696441537,1.000755790046904
11,Kings,1.0832005645383331,1.1945065073919616,1.0628462106347751,0.9291038539936763,1.0630827728733954,1.0403033633315528,1.1047575715802007,1.0309436842732562
12,Knicks,1.0524159256382661,1.057074674580388,1.2094192873534884,1.0105004440818472,1.0431594560772897,1.0407475594567328,1.0533182016639377,1.0283718242984403
13,Lakers,1.0330370835644063,1.0986320605994788,1.0565206925598671,0.986820526825366,1.031761866088178,1.0201713908022974,1.0457410897082267,1.0297246480805786
14,Magic,0.9458267713849919,0.9700687718001535,0.9107875325020466,0.8355705336990994,0.9232489902681893,0.9151338124269637,0.9505218034763673,0.8871799564600641
15,Mavericks,1.0386903974718897,1.1124123628991547,1.1488757030849566,1.004537244210899,1.0414778341922089,1.029182896097562,1.0529683855748768,1.0459308913275878
16,Nets,0.9893832669462553,0.8783986767755594,0.8801686499678905,1.0705691175369396,0.9922500323153527,1.0119836570235172,0.967888497390287,0.9968298205807717
17,Nuggets,0.9358313817701397,0.9840292718355458,0.8400284270786933,0.9744264539471493,0.9521082275017909,0.9465754175832051,0.9451660338911809,0.978111230008873
18,Pacers,1.0397637349090387,0.9396573848408304,0.8741530576702522,1.0026460561674193,1.0161693156688936,1.0294309735692275,1.0203757917495804,0.9784761561483356
19,Pelicans,0.941723816691795,0.980176772829906,1.0198601325897456,0.986031020678165,0.9579163421544596,0.954057986821678,0.9491711337442181,0.9837846391908381
20,Pistons,0.9964428340169199,0.9644297697982493,0.973232312726851,0.9144822513429174,0.9722681625117139,0.9736267752343235,0.9902427531128736,0.9336480235657887
21,Raptors,1.0623476949239314,1.0530724075484679,1.1428918862951551,1.1046524886103326,1.071014560244501,1.0741244372071546,1.0605513179278605,1.0848602723913623
22,Rockets,0.9916573936730219,0.9170664188500468,0.9359839231563066,1.0613827399493843,0.9971812799809885,1.0110674264885033,0.9772111015138225,1.0060059399847128
23,Spurs,1.0271403262956265,0.9920221873886316,0.8269495810612589,0.9617958802381742,1.0064492313410867,1.0089498416294413,1.0203388748339473,0.9733942646204191
24,Suns,0.957171571620343,0.8914797858354199,1.01240457430771,1.0061952068692657,0.9590984828063494,0.9708186945065346,0.9444488161910062,0.9621768112015873
25,Thunder,0.9601723083586778,0.9621015649876724,0.9973044855176247,1.0322896659382135,0.9775675395186936,0.9802482255385849,0.9605459541647376,1.0053572136928233
26,Timberwolves,0.9510066983713492,0.9428789085655009,0.8824928160855118,0.9952650514674832,0.9603065684930032,0.9633272694668327,0.9494325611996268,0.9751635346445389
27,Trail Blazers,0.9844949839262216,0.9478654562383614,0.910103796610106,0.942894511761623,0.9692140083047524,0.9729143095663708,0.9774008165703428,0.9448019536630441
28,Warriors,0.9832360564945347,1.026987526982132,1.0197133613629488,0.9602783707703065,0.9842523359131755,0.9768451318584839,0.9917095551524947,0.985875888578507
29,Wizards,1.0513107454764734,1.1131342087785105,0.8941498300582019,1.0545872288535758,1.0612208798766685,1.0522228477931383,1.0632843095071671,1.077052771012228
