,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Alex Caruso,100,10.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
1,Under,Alex Caruso,-130,10.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
2,Over,Ayo Dosunmu,-120,16.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
3,Under,Ayo Dosunmu,-110,16.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
4,Over,Cade Cunningham,-105,23.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
5,Under,Cade Cunningham,-125,23.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
6,Over,Coby White,-115,20.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
7,Under,Coby White,-115,20.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
8,Over,DeMar DeRozan,-120,27.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
9,Under,DeMar DeRozan,-110,27.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
10,Over,Jalen Duren,-105,13.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
11,Under,Jalen Duren,-125,13.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
12,Over,Nikola Vucevic,-120,18.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
13,Under,Nikola Vucevic,-110,18.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,draftkings,DraftKings,,player_points,2024-04-11T18:59:04Z
14,Over,Alex Caruso,-105,10.5,4260b108c5282aa454a55a2eb571dcf9,basketball_nba,NBA,2024-04-11T23:10:00Z,Detroit Pistons,Chicago Bulls,pointsbetus,PointsBet (US),,player_points,2024-04-11T18:59:16Z
