,outcomes_name,outcomes_description,outcomes_price,outcomes_point,timestamp,data.id,"data,.home_team",data.away_team,data.bookmakers.title,data.bookmakers.markets.key
30,Over,Brook Lopez,-105,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
31,Under,Brook Lopez,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
32,Over,Bobby Portis,-118,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
33,Under,Bobby Portis,-104,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
34,Over,Cody Martin,-110,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
35,Under,Cody Martin,-110,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
36,Over,Giannis Antetokounmpo,-108,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
37,Under,Giannis Antetokounmpo,-112,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
38,Over,Brandon Miller,-105,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
39,Under,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
40,Over,Malik Beasley,-102,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
41,Under,Malik Beasley,-120,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
42,Over,Damian Lillard,-114,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
43,Under,Damian Lillard,-106,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
44,Over,Miles Bridges,-112,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
45,Under,Miles Bridges,-108,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
46,Over,Grant Williams,-130,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
47,Under,Grant Williams,106,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
48,Over,Seth Curry,-118,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
49,Under,Seth Curry,-104,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
50,Over,Tre Mann,-105,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
51,Under,Tre Mann,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
52,Over,Vasilije Micic,-110,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
53,Under,Vasilije Micic,-110,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,FanDuel,player_points
54,Over,Bobby Portis,-120,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
55,Under,Bobby Portis,-110,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
56,Over,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
57,Under,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
58,Over,Brook Lopez,-120,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
59,Under,Brook Lopez,-110,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
60,Over,Cody Martin,-105,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
61,Under,Cody Martin,-125,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
62,Over,Damian Lillard,-110,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
63,Under,Damian Lillard,-120,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
64,Over,Giannis Antetokounmpo,-120,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
