,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Aaron Nesmith,-135,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
1,Under,Aaron Nesmith,114,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
2,Over,Alec Burks,-125,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
3,Under,Alec Burks,105,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
4,Over,Andrew Nembhard,-105,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
5,Under,Andrew Nembhard,-115,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
6,Over,Donte DiVincenzo,-125,16.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
7,Under,Donte DiVincenzo,105,16.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
8,Over,Isaiah Hartenstein,-102,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
9,Under,Isaiah Hartenstein,-118,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
10,Over,Jalen Brunson,-108,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
11,Under,Jalen Brunson,-112,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
12,Over,Josh Hart,-108,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
13,Under,Josh Hart,-112,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
14,Over,Miles McBride,100,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
15,Under,Miles McBride,-120,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
16,Over,Myles Turner,102,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
17,Under,Myles Turner,-122,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
18,Over,Obi Toppin,110,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
19,Under,Obi Toppin,-130,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
20,Over,Pascal Siakam,-112,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
21,Under,Pascal Siakam,-108,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
22,Over,T.J. McConnell,-105,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
23,Under,T.J. McConnell,-115,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
24,Over,Tyrese Haliburton,-105,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
25,Under,Tyrese Haliburton,-115,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,draftkings,DraftKings,,player_points,2024-05-17T13:59:51Z
26,Over,Ben Sheppard,112,5.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
27,Under,Ben Sheppard,-142,5.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
28,Over,Alec Burks,-130,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
29,Under,Alec Burks,102,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
30,Over,Miles McBride,-113,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
31,Under,Miles McBride,-113,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
32,Over,Jalen Brunson,-102,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
33,Under,Jalen Brunson,-125,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
34,Over,Isaiah Hartenstein,-113,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
35,Under,Isaiah Hartenstein,-113,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
36,Over,Tyrese Haliburton,-120,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
37,Under,Tyrese Haliburton,-106,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
38,Over,Andrew Nembhard,-106,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
39,Under,Andrew Nembhard,-120,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
40,Over,Donte DiVincenzo,-113,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
41,Under,Donte DiVincenzo,-113,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
42,Over,Josh Hart,-115,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
43,Under,Josh Hart,-111,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
44,Over,Aaron Nesmith,104,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
45,Under,Aaron Nesmith,-132,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
46,Over,Pascal Siakam,-115,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
47,Under,Pascal Siakam,-111,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
48,Over,Myles Turner,100,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
49,Under,Myles Turner,-128,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
50,Over,T.J. McConnell,100,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
51,Under,T.J. McConnell,-128,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
52,Over,Obi Toppin,-130,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
53,Under,Obi Toppin,102,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,fanduel,FanDuel,,player_points,2024-05-17T13:59:26Z
54,Over,Jalen Brunson,-111,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
55,Under,Jalen Brunson,-123,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
56,Over,Josh Hart,-121,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
57,Under,Josh Hart,-113,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
58,Over,Pascal Siakam,-129,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
59,Under,Pascal Siakam,-106,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
60,Over,Isaiah Hartenstein,-109,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
61,Under,Isaiah Hartenstein,-125,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
62,Over,Andrew Nembhard,-115,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
63,Under,Andrew Nembhard,-119,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
64,Over,Miles McBride,-119,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
65,Under,Miles McBride,-115,13.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
66,Over,Obi Toppin,-103,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
67,Under,Obi Toppin,-133,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
68,Over,Alec Burks,-127,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
69,Under,Alec Burks,-108,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
70,Over,Donte DiVincenzo,-145,16.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
71,Under,Donte DiVincenzo,106,16.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
72,Over,Aaron Nesmith,-137,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
73,Under,Aaron Nesmith,100,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
74,Over,Myles Turner,-113,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
75,Under,Myles Turner,-121,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
76,Over,T.J. McConnell,-109,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
77,Under,T.J. McConnell,-125,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
78,Over,Tyrese Haliburton,-133,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
79,Under,Tyrese Haliburton,-103,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,williamhill_us,Caesars,,player_points,2024-05-17T13:57:39Z
80,Under,T.J. McConnell,-127,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
81,Over,T.J. McConnell,-102,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
82,Under,Myles Turner,-127,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
83,Over,Myles Turner,-102,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
84,Over,Andrew Nembhard,-109,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
85,Under,Andrew Nembhard,-119,9.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
86,Under,Tyrese Haliburton,-109,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
87,Over,Tyrese Haliburton,-119,20.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
88,Under,Isaiah Hartenstein,-110,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
89,Over,Isaiah Hartenstein,-118,8.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
90,Over,Josh Hart,-112,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
91,Under,Josh Hart,-115,14.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
92,Over,Jalen Brunson,100,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
93,Under,Jalen Brunson,-130,34.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
94,Under,Donte DiVincenzo,-114,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
95,Over,Donte DiVincenzo,-114,17.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
96,Over,Pascal Siakam,-123,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
97,Under,Pascal Siakam,-104,21.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
98,Over,Aaron Nesmith,-114,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
99,Under,Aaron Nesmith,-114,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
100,Under,Ben Sheppard,-141,5.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
101,Over,Ben Sheppard,109,5.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
102,Over,Alec Burks,-127,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
103,Under,Alec Burks,-102,10.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
104,Over,Precious Achiuwa,-123,4.5,51b4131e55d1c653aaf7cd18b9adee09,basketball_nba,NBA,2024-05-18T00:35:00Z,Indiana Pacers,New York Knicks,betonlineag,BetOnline.ag,,player_points,2024-05-17T13:58:36Z
