,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Cade Cunningham,-115,21.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
1,Under,Cade Cunningham,-115,21.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
2,Over,Jaden Ivey,-135,15.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
3,Under,Jaden Ivey,105,15.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
4,Over,Jalen Duren,-105,12.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
5,Under,Jalen Duren,-125,12.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
6,Over,Jaylen Brown,-115,26.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
7,Under,Jaylen Brown,-115,26.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
8,Over,Jayson Tatum,-120,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
9,Under,Jayson Tatum,-110,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,draftkings,DraftKings,,player_points,2024-03-22T18:58:28Z
10,Over,Jayson Tatum,-105,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
11,Under,Jayson Tatum,-115,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
12,Over,Jalen Duren,-104,12.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
13,Under,Jalen Duren,-118,12.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
14,Over,Jaden Ivey,100,16.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
15,Under,Jaden Ivey,-120,16.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
16,Over,Jaylen Brown,-120,25.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
17,Under,Jaylen Brown,-102,25.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
18,Over,Cade Cunningham,-122,21.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
19,Under,Cade Cunningham,100,21.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,fanduel,FanDuel,,player_points,2024-03-22T18:58:26Z
20,Over,Jayson Tatum,-115,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,betonlineag,BetOnline.ag,,player_points,2024-03-22T18:59:50Z
21,Under,Jayson Tatum,-112,28.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,betonlineag,BetOnline.ag,,player_points,2024-03-22T18:59:50Z
22,Over,Jaylen Brown,103,26.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,betonlineag,BetOnline.ag,,player_points,2024-03-22T18:59:50Z
23,Under,Jaylen Brown,-133,26.5,e8801d647d2e0c1c91cc49d3b001c139,basketball_nba,NBA,2024-03-22T23:10:00Z,Detroit Pistons,Boston Celtics,betonlineag,BetOnline.ag,,player_points,2024-03-22T18:59:50Z
