,outcomes_name,outcomes_description,outcomes_price,outcomes_point,id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers.key,bookmakers.title,bookmakers.last_update,bookmakers.markets.key,bookmakers.markets.last_update
0,Over,Cameron Johnson,-110,16.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
1,Under,Cameron Johnson,-120,16.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
2,Over,Dorian Finney-Smith,-110,9.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
3,Under,Dorian Finney-Smith,-120,9.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
4,Over,Mikal Bridges,-115,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
5,Under,Mikal Bridges,-115,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
6,Over,Nicolas Claxton,-135,11.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
7,Under,Nicolas Claxton,105,11.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
8,Over,Santi Aldama,-125,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
9,Under,Santi Aldama,-105,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
10,Over,Vince Williams Jr.,-120,14.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
11,Under,Vince Williams Jr.,-110,14.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,draftkings,DraftKings,,player_points,2024-03-04T17:05:11Z
12,Over,Cameron Johnson,-110,16.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
13,Under,Cameron Johnson,-120,16.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
14,Over,Dorian Finney-Smith,-115,9.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
15,Under,Dorian Finney-Smith,-115,9.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
16,Over,Mikal Bridges,-115,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
17,Under,Mikal Bridges,-115,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
18,Over,Nicolas Claxton,100,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
19,Under,Nicolas Claxton,-130,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
20,Over,Santi Aldama,-120,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
21,Under,Santi Aldama,-110,12.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
22,Over,Vince Williams Jr.,-115,14.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
23,Under,Vince Williams Jr.,-115,14.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,pointsbetus,PointsBet (US),,player_points,2024-03-04T17:05:34Z
24,Over,Mikal Bridges,-111,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,fanduel,FanDuel,,player_points,2024-03-04T17:06:17Z
25,Under,Mikal Bridges,-115,22.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,fanduel,FanDuel,,player_points,2024-03-04T17:06:17Z
26,Over,Nic Claxton,-132,11.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,fanduel,FanDuel,,player_points,2024-03-04T17:06:17Z
27,Under,Nic Claxton,104,11.5,6a9dc355525a5d6954499c06e62a8660,basketball_nba,NBA,2024-03-05T00:40:00Z,Brooklyn Nets,Memphis Grizzlies,fanduel,FanDuel,,player_points,2024-03-04T17:06:17Z
